%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1474303378173969202,56,1474307098820830106,/gps,0,1,34.1062705,-117.712406833,350.2,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303379171404830,57,1474307099819552898,/gps,0,1,34.1062686667,-117.712416,350.3,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303380171156437,58,1474307100820039033,/gps,0,1,34.1062701667,-117.7124225,350.3,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303381187413026,59,1474307101834794998,/gps,0,1,34.1062745,-117.712419833,350.2,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303382189790801,60,1474307102833450078,/gps,0,1,34.106284,-117.712421667,350.4,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303383186542780,61,1474307103835880041,/gps,0,1,34.1062931667,-117.712423667,350.1,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303384177739884,62,1474307104827600002,/gps,0,1,34.106302,-117.71243,350.9,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303385185085805,63,1474307105831197977,/gps,0,1,34.1063075,-117.712431667,350.7,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303386184266594,64,1474307106833671092,/gps,0,1,34.1063175,-117.712435667,351.0,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303387184116820,65,1474307107833389043,/gps,0,1,34.1063273333,-117.712439833,350.9,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303388183739700,66,1474307108832864999,/gps,0,1,34.1063351667,-117.712442,350.8,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303389188671084,67,1474307109836472034,/gps,0,1,34.1063428333,-117.712444333,350.8,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303390176253714,68,1474307110827044010,/gps,0,1,34.1063495,-117.712445667,350.7,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303391181651969,69,1474307111830975055,/gps,0,1,34.1063551667,-117.712446333,350.5,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303392240053017,70,1474307112821504116,/gps,0,1,34.1063526667,-117.712447667,350.1,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303393171239461,71,1474307113820996999,/gps,0,1,34.1063545,-117.712453,350.9,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
