%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1492810664027463875,412192,1492810664027177847,robot_frame,-0.0844505781287,0.120986774946,-0.950638858315,-0.272976455554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0309193897992,-0.051967382431,0.00139877106994,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,0.0729816257954,0.0219030641019,-0.013586406596,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
1492810664042614015,412193,1492810664042405442,robot_frame,-0.0850844114125,0.120870526035,-0.950624191212,-0.272882215201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0284021049738,-0.0615869350731,0.00287725264207,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,0.0472305454314,0.0156874060631,-0.0439251214266,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
1492810664062880472,412194,1492810664062702443,robot_frame,-0.0857970816936,0.120796886271,-0.950598249827,-0.272782053216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0266946163028,-0.0708336904645,0.00213384767994,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,0.00920937955379,0.0151215475053,-0.00401509553194,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
1492810664083157183,412195,1492810664083009956,robot_frame,-0.0865933318095,0.12076654976,-0.95056503811,-0.272659405886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0251042284071,-0.0808706954122,0.00181703455746,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,0.00436222460121,0.00981591548771,-0.00258728535846,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
1492810664103462946,412196,1492810664103358008,robot_frame,-0.0874731143449,0.120785822723,-0.95051709607,-0.272537243246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0216986760497,-0.0906517207623,0.00104569364339,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,-0.0635512694716,-0.0189881436527,0.00295831821859,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
1492810664123803541,412197,1492810664123681826,robot_frame,-0.0884319590998,0.120847121363,-0.950456341388,-0.272412383207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192249901593,-0.0980987995863,-0.00074822967872,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,-0.0920045077801,-0.00293271406554,0.0368489027023,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
1492810664144099675,412198,1492810664143992952,robot_frame,-0.0894696935355,0.120960038038,-0.950380940676,-0.272286659158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0176898241043,-0.108136177063,-0.00119796860963,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,-0.0855686590075,-0.0153104737401,0.0281380787492,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
1492810664164407871,412199,1492810664164301432,robot_frame,-0.0905827312186,0.121097476277,-0.950285962753,-0.27218894169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0163962431252,-0.115704514086,-0.00650961557403,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,-0.107207536697,-0.00100567704067,0.0172826983035,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
1492810664184704239,412200,1492810664184596037,robot_frame,-0.0917605525591,0.121285444636,-0.950171260104,-0.272111117534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0135811846703,-0.123971864581,-0.00688120815903,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,-0.136384546757,-0.0103066442534,0.0227422546595,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
1492810664205025850,412201,1492810664204920950,robot_frame,-0.0929973860729,0.121500591127,-0.950047516957,-0.272027161012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0129040824249,-0.128209173679,-0.00928591564298,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,-0.148091986775,-0.00233649858274,0.0512624382973,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
