%time,field.P_vel,field.I_vel,field.D_vel,field.P_pitch,field.I_pitch,field.D_pitch,field.P_yaw,field.I_yaw,field.D_yaw
1492810671155714905,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810671255700377,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810671355624351,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810671455700830,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810671555622071,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810671655622712,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810671755561801,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810671855620234,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810671955624522,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810672055644862,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810672155996702,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810672255682029,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810672355620492,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810672455871231,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810672555634460,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810672655545052,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810672755625584,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810672855683740,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810672955602501,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810673055628497,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810673155631606,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810673255591299,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810673355659558,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810673455584515,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
