%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1492810669930310908,10065,1492810669931141889,/temperature,15.5305557251,0.0
1492810670005161975,10066,1492810670005141889,/temperature,15.5305557251,0.0
1492810670078871033,10067,1492810670080141889,/temperature,15.5305557251,0.0
1492810670154211098,10068,1492810670154141889,/temperature,15.5218229294,0.0
1492810670227880633,10069,1492810670228141889,/temperature,15.51308918,0.0
1492810670301973690,10070,1492810670302141889,/temperature,15.51308918,0.0
1492810670376287062,10071,1492810670377141889,/temperature,15.5218229294,0.0
1492810670450629544,10072,1492810670451141889,/temperature,15.5218229294,0.0
1492810670524807741,10073,1492810670525141889,/temperature,15.51308918,0.0
1492810670598257656,10074,1492810670599141889,/temperature,15.5392885208,0.0
1492810670672241413,10075,1492810670674141889,/temperature,15.51308918,0.0
1492810670748278252,10076,1492810670748141889,/temperature,15.5218229294,0.0
1492810670821327239,10077,1492810670822141889,/temperature,15.5305557251,0.0
1492810670895484048,10078,1492810670897141889,/temperature,15.5218229294,0.0
1492810670970314406,10079,1492810670971141889,/temperature,15.51308918,0.0
1492810671044555798,10080,1492810671045141889,/temperature,15.5305557251,0.0
1492810671118846281,10081,1492810671119141889,/temperature,15.5218229294,0.0
1492810671193281269,10082,1492810671194141889,/temperature,15.51308918,0.0
1492810671268106960,10083,1492810671268141889,/temperature,15.51308918,0.0
1492810671341454581,10084,1492810671342141889,/temperature,15.5043563843,0.0
1492810671415905071,10085,1492810671417156932,/temperature,15.51308918,0.0
1492810671490070567,10086,1492810671492156932,/temperature,15.51308918,0.0
1492810671564897307,10087,1492810671566156932,/temperature,15.51308918,0.0
1492810671639107906,10088,1492810671640156932,/temperature,15.5218229294,0.0
1492810671713277941,10089,1492810671714156932,/temperature,15.5043563843,0.0
1492810671788141873,10090,1492810671789156932,/temperature,15.5043563843,0.0
1492810671861232701,10091,1492810671863156932,/temperature,15.5305557251,0.0
1492810671936053295,10092,1492810671937156932,/temperature,15.4956226349,0.0
1492810672009259698,10093,1492810672012156932,/temperature,15.5043563843,0.0
1492810672084676304,10094,1492810672086156932,/temperature,15.4956226349,0.0
1492810672158916868,10095,1492810672160156932,/temperature,15.5043563843,0.0
1492810672233248847,10096,1492810672234156932,/temperature,15.4781551361,0.0
1492810672306863328,10097,1492810672309156932,/temperature,15.5043563843,0.0
1492810672381595080,10098,1492810672383156932,/temperature,15.4868888855,0.0
1492810672455551827,10099,1492810672457156932,/temperature,15.51308918,0.0
1492810672529620470,10100,1492810672531156932,/temperature,15.5043563843,0.0
1492810672603997319,10101,1492810672606156932,/temperature,15.5043563843,0.0
1492810672678378693,10102,1492810672680156932,/temperature,15.5043563843,0.0
1492810672752529177,10103,1492810672754156932,/temperature,15.5043563843,0.0
1492810672826365376,10104,1492810672828156932,/temperature,15.5043563843,0.0
1492810672901293487,10105,1492810672903156932,/temperature,15.4956226349,0.0
1492810672976074812,10106,1492810672977156932,/temperature,15.5043563843,0.0
1492810673050259113,10107,1492810673051156932,/temperature,15.5043563843,0.0
1492810673124193539,10108,1492810673126156932,/temperature,15.4956226349,0.0
1492810673198351288,10109,1492810673200156932,/temperature,15.4956226349,0.0
1492810673273014412,10110,1492810673274156932,/temperature,15.4956226349,0.0
1492810673347085548,10111,1492810673348156932,/temperature,15.4956226349,0.0
1492810673421106394,10112,1492810673423156932,/temperature,15.4956226349,0.0
1492810673495366800,10113,1492810673497156932,/temperature,15.4781551361,0.0
1492810673569752557,10114,1492810673571156932,/temperature,15.4956226349,0.0
1492810673643424205,10115,1492810673645156932,/temperature,15.4956226349,0.0
1492810673718443524,10116,1492810673720156932,/temperature,15.4868888855,0.0
1492810673792546637,10117,1492810673794156932,/temperature,15.4868888855,0.0
1492810673866796121,10118,1492810673868156932,/temperature,15.4868888855,0.0
1492810673940871117,10119,1492810673942598890,/temperature,15.4781551361,0.0
1492810674015679634,10120,1492810674016598890,/temperature,15.5043563843,0.0
1492810674089552919,10121,1492810674090598890,/temperature,15.4868888855,0.0
1492810674164127535,10122,1492810674164598890,/temperature,15.4781551361,0.0
1492810674239053934,10123,1492810674239598890,/temperature,15.4781551361,0.0
1492810674312259349,10124,1492810674313598890,/temperature,15.4868888855,0.0
1492810674386242941,10125,1492810674387598890,/temperature,15.4868888855,0.0
1492810674461114464,10126,1492810674461598890,/temperature,15.51308918,0.0
1492810674536163408,10127,1492810674536598890,/temperature,15.4781551361,0.0
1492810674610040944,10128,1492810674610598890,/temperature,15.4868888855,0.0
1492810674683734243,10129,1492810674684598890,/temperature,15.4781551361,0.0
1492810674758239561,10130,1492810674759598890,/temperature,15.4781551361,0.0
1492810674832598899,10131,1492810674833598890,/temperature,15.4868888855,0.0
1492810674907093906,10132,1492810674907598890,/temperature,15.4868888855,0.0
1492810674981056122,10133,1492810674981598890,/temperature,15.4606866837,0.0
1492810675056239534,10134,1492810675056598890,/temperature,15.4694213867,0.0
1492810675129379549,10135,1492810675130598890,/temperature,15.4868888855,0.0
1492810675204105483,10136,1492810675204598890,/temperature,15.4694213867,0.0
1492810675278038123,10137,1492810675278598890,/temperature,15.4781551361,0.0
1492810675353258136,10138,1492810675353598890,/temperature,15.4694213867,0.0
1492810675427106336,10139,1492810675427598890,/temperature,15.4781551361,0.0
1492810675500980688,10140,1492810675501598890,/temperature,15.4694213867,0.0
1492810675574737941,10141,1492810675575598890,/temperature,15.4868888855,0.0
1492810675649908845,10142,1492810675650598890,/temperature,15.4781551361,0.0
1492810675724193893,10143,1492810675724598890,/temperature,15.4868888855,0.0
1492810675798225840,10144,1492810675798598890,/temperature,15.4781551361,0.0
1492810675871276017,10145,1492810675873598890,/temperature,15.4694213867,0.0
1492810675946215346,10146,1492810675947598890,/temperature,15.4519519806,0.0
1492810676021129945,10147,1492810676021598890,/temperature,15.4432182312,0.0
1492810676095166596,10148,1492810676095598890,/temperature,15.4606866837,0.0
1492810676170095923,10149,1492810676170598890,/temperature,15.4606866837,0.0
1492810676244004452,10150,1492810676244598890,/temperature,15.4868888855,0.0
1492810676317957037,10151,1492810676318598890,/temperature,15.4781551361,0.0
1492810676391463557,10152,1492810676392598890,/temperature,15.4606866837,0.0
1492810676467124148,10153,1492810676468016933,/temperature,15.4606866837,0.0
1492810676540328584,10154,1492810676542016933,/temperature,15.4606866837,0.0
1492810676614224944,10155,1492810676616016933,/temperature,15.4694213867,0.0
1492810676689357356,10156,1492810676691016933,/temperature,15.4694213867,0.0
1492810676763377349,10157,1492810676765016933,/temperature,15.4781551361,0.0
1492810676838150636,10158,1492810676839016933,/temperature,15.4606866837,0.0
1492810676911870995,10159,1492810676913016933,/temperature,15.4606866837,0.0
1492810676986791034,10160,1492810676988016933,/temperature,15.4606866837,0.0
1492810677061285924,10161,1492810677062016933,/temperature,15.4606866837,0.0
1492810677134236241,10162,1492810677136016933,/temperature,15.4432182312,0.0
1492810677208617960,10163,1492810677210016933,/temperature,15.4694213867,0.0
1492810677284009640,10164,1492810677285016933,/temperature,15.4606866837,0.0
1492810677357881803,10165,1492810677359016933,/temperature,15.4606866837,0.0
1492810677431460729,10166,1492810677433016933,/temperature,15.4432182312,0.0
1492810677505734586,10167,1492810677507016933,/temperature,15.4519519806,0.0
1492810677580419985,10168,1492810677582016933,/temperature,15.4432182312,0.0
1492810677655293248,10169,1492810677656016933,/temperature,15.4519519806,0.0
1492810677728861352,10170,1492810677730016933,/temperature,15.4432182312,0.0
1492810677803583168,10171,1492810677805016933,/temperature,15.4432182312,0.0
1492810677877979853,10172,1492810677879016933,/temperature,15.4257478714,0.0
1492810677951907665,10173,1492810677953016933,/temperature,15.4344825745,0.0
1492810678025961126,10174,1492810678027016933,/temperature,15.4257478714,0.0
1492810678101370982,10175,1492810678102016933,/temperature,15.4344825745,0.0
1492810678174299932,10176,1492810678176016933,/temperature,15.4170131683,0.0
1492810678248274981,10177,1492810678250016933,/temperature,15.4432182312,0.0
1492810678322912164,10178,1492810678324016933,/temperature,15.4344825745,0.0
1492810678397827541,10179,1492810678399016933,/temperature,15.4257478714,0.0
1492810678471355127,10180,1492810678473016933,/temperature,15.4432182312,0.0
1492810678546169836,10181,1492810678547016933,/temperature,15.4257478714,0.0
1492810678620344925,10182,1492810678621016933,/temperature,15.4344825745,0.0
1492810678694359464,10183,1492810678696016933,/temperature,15.4257478714,0.0
1492810678769264969,10184,1492810678770016933,/temperature,15.4344825745,0.0
1492810678843042515,10185,1492810678844016933,/temperature,15.4257478714,0.0
1492810678917261020,10186,1492810678919016933,/temperature,15.4432182312,0.0
1492810678991294559,10187,1492810678992083070,/temperature,15.4344825745,0.0
1492810679066277253,10188,1492810679066083070,/temperature,15.4519519806,0.0
1492810679140769269,10189,1492810679140083070,/temperature,15.4170131683,0.0
1492810679214398904,10190,1492810679215083070,/temperature,15.4170131683,0.0
1492810679289155624,10191,1492810679289083070,/temperature,15.4082775116,0.0
1492810679362813020,10192,1492810679363083070,/temperature,15.4257478714,0.0
1492810679437520017,10193,1492810679438083070,/temperature,15.4170131683,0.0
1492810679511534712,10194,1492810679512083070,/temperature,15.4257478714,0.0
1492810679586053519,10195,1492810679586083070,/temperature,15.4082775116,0.0
1492810679660235166,10196,1492810679660083070,/temperature,15.4082775116,0.0
1492810679734911344,10197,1492810679735083070,/temperature,15.4170131683,0.0
1492810679808712589,10198,1492810679809083070,/temperature,15.4170131683,0.0
1492810679882567280,10199,1492810679883083070,/temperature,15.4082775116,0.0
1492810679956687823,10200,1492810679957083070,/temperature,15.4082775116,0.0
1492810680031527057,10201,1492810680032083070,/temperature,15.4344825745,0.0
