%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.header.frame_id,field.transforms0.child_frame_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w
1492805867293839594,0,1492805867274337292,odom,robot_frame,0.0,0.0,0.0,-0.0385275508536,-0.121245123379,0.531746496133,0.837293802516
1492805867393758409,0,1492805867387537003,odom,robot_frame,1.60825916164e-07,1.32927914982e-06,-0.0970718406064,-0.0375445651804,-0.125120858037,0.530524509548,0.837543384714
1492805867493771100,0,1492805867477537870,odom,robot_frame,-3.08525116993e-05,0.000140272378462,-0.0971829076763,-0.0371807724058,-0.129622663607,0.529437133197,0.837563058662
1492805867593785234,0,1492805867579012156,odom,robot_frame,-6.42928916163e-05,0.000769681004979,-0.0946368383479,-0.0360421849731,-0.134326132555,0.528792094639,0.837279147992
1492805867693786186,0,1492805867684232950,odom,robot_frame,5.42101409726e-05,0.00201965887724,-0.087888182389,-0.0341356080439,-0.13875391063,0.529004740937,0.836502299229
1492805867793773827,0,1492805867776958227,odom,robot_frame,0.000328681313422,0.00344802545213,-0.093535775837,-0.0330039349869,-0.142053409,0.529655629713,0.835581523958
1492805867893777753,0,1492805867878399849,odom,robot_frame,0.000469306198913,0.0049074388418,-0.0935106427997,-0.031865886377,-0.143555534024,0.530487536327,0.834840911634
1492805867993775342,0,1492805867981420040,odom,robot_frame,0.000174740654508,0.00601586748818,-0.0950318360434,-0.0315845769418,-0.142558462837,0.530887470159,0.834768227235
1492805868093748589,0,1492805868076463938,odom,robot_frame,-0.000635308617407,0.00672418698341,-0.0920037719344,-0.0319042375332,-0.138955335206,0.530746143769,0.835453209534
1492805868193743339,0,1492805868177963257,odom,robot_frame,-0.00170826274005,0.00759624641397,-0.0965907512965,-0.0330441306901,-0.133198864136,0.530325297714,0.836612949113
1492805868293765219,0,1492805868278203964,odom,robot_frame,-0.0027381881239,0.00900739103204,-0.100133876753,-0.0345455279287,-0.127053172223,0.529883553434,0.837787274747
1492805868393801928,0,1492805868376119852,odom,robot_frame,-0.00363449060564,0.0110715021666,-0.0989555899188,-0.0356781163484,-0.122322587997,0.529809114344,0.838490643262
1492805868493811440,0,1492805868477611303,odom,robot_frame,-0.00405293490632,0.0140320361952,-0.100181616821,-0.0371185488578,-0.119841048668,0.529986704876,0.838674209118
1492805868593748711,0,1492805868575577021,odom,robot_frame,-0.00417382982137,0.0172424309809,-0.0980922633756,-0.0382662295193,-0.120187479213,0.530146078544,0.838472301822
1492805868693775667,0,1492805868675496340,odom,robot_frame,-0.0038798839101,0.0205254557334,-0.101015734036,-0.0386664928928,-0.123237853876,0.529914214383,0.83815765766
1492805868793737911,0,1492805868777026415,odom,robot_frame,-0.0041801949187,0.0230026373772,-0.0934171011663,-0.0377632638501,-0.128236098804,0.529123047202,0.83794882886
1492805868893733494,0,1492805868878546476,odom,robot_frame,-0.00442024399996,0.0250164988276,-0.0919500220129,-0.0356471968714,-0.133620694969,0.527945641495,0.837942830304
1492805868993769163,0,1492805868975086927,odom,robot_frame,-0.00459388230421,0.0269508978638,-0.092203308269,-0.0332877678502,-0.137633158796,0.52695142825,0.838016247084
1492805869093796067,0,1492805869076609373,odom,robot_frame,-0.00441740556784,0.0297219201804,-0.0971161885669,-0.03168794772,-0.139529525059,0.52658025094,0.83799798623
1492805869193800475,0,1492805869178158283,odom,robot_frame,-0.00486232775883,0.0332480125177,-0.0900916751886,-0.0311194835469,-0.139779464007,0.52694605071,0.837747658204
1492805869293825394,0,1492805869274603367,odom,robot_frame,-0.00541271478643,0.0370921446443,-0.0894611959843,-0.0312618486264,-0.139133318169,0.527692143167,0.837380211514
1492805869393883994,0,1492805869392841101,odom,robot_frame,-0.00669018830551,0.0417617004534,-0.0940098329851,-0.0318601635915,-0.13795603728,0.528432822073,0.837085308861
1492805869493792145,0,1492805869477825880,odom,robot_frame,-0.0085143037521,0.0446575688979,-0.0901398766237,-0.0322310018656,-0.136070215534,0.52875654231,0.837175356737
1492805869593811116,0,1492805869574579477,odom,robot_frame,-0.0101293475639,0.0477470581722,-0.0978155656929,-0.0332428789496,-0.133156712966,0.528785078714,0.837586139642
1492805869693780516,0,1492805869689714909,odom,robot_frame,-0.0126564003028,0.0512894052899,-0.0970718552088,-0.0350051026217,-0.129624607691,0.528515643714,0.838238222835
1492805869793822897,0,1492805869777743816,odom,robot_frame,-0.0142594307874,0.0544571657628,-0.0982890234862,-0.0357394840983,-0.126388954643,0.528459496618,0.838736598614
1492805869893965735,0,1492805869874321699,odom,robot_frame,-0.015949087199,0.0584111600556,-0.0961945766375,-0.0368018747938,-0.124220221054,0.528440133118,0.839026807917
1492805869993771734,0,1492805869986465931,odom,robot_frame,-0.0171989011598,0.0638925771281,-0.0980922628285,-0.0373983612232,-0.12406490456,0.52844519704,0.83902022369
1492805870093748639,0,1492805870077473402,odom,robot_frame,-0.018271989616,0.068535010019,-0.0968294511677,-0.0375324451248,-0.125863478126,0.528458163968,0.838738141122
1492805870193752234,0,1492805870173946619,odom,robot_frame,-0.0193771078338,0.0733519201903,-0.0954517245573,-0.0368052472621,-0.129411023031,0.528234450909,0.83837135314
1492805870293784908,0,1492805870283622026,odom,robot_frame,-0.0211280540679,0.0783564686128,-0.0909494062572,-0.034782252168,-0.133698046926,0.527724455044,0.83810615481
1492805870393791725,0,1492805870376940250,odom,robot_frame,-0.0224693062888,0.082526810007,-0.093028494854,-0.0330382658751,-0.137451214186,0.527150340846,0.837930877133
1492805870493742715,0,1492805870478505373,odom,robot_frame,-0.0238504988025,0.0870988570906,-0.0986822105398,-0.0310594375457,-0.139905003201,0.526787961769,0.837828350412
1492805870593747117,0,1492805870580315113,odom,robot_frame,-0.0264457370859,0.0920642112702,-0.08584736655,-0.0298579195329,-0.140685137423,0.526704594577,0.83779380924
1492805870693885421,0,1492805870676508904,odom,robot_frame,-0.0274406115447,0.0970407545275,-0.096531870411,-0.0297130127152,-0.139813417294,0.526893770797,0.837825936287
1492805870793754704,0,1492805870778056145,odom,robot_frame,-0.0291057774185,0.102889430374,-0.095148328114,-0.0303577262896,-0.13757323588,0.527294217958,0.837921727211
