%time,field.P_vel,field.I_vel,field.D_vel,field.P_pitch,field.I_pitch,field.D_pitch,field.P_yaw,field.I_yaw,field.D_yaw
1492805874055807623,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805874155557222,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805874255811778,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805874355639190,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805874455778024,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805874555647898,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805874655715954,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805874755629439,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805874855609999,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805874955733531,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805875055859968,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805875155709407,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805875255642991,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805875355605654,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805875455625762,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805875555640687,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805875655729125,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805875755548891,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805875855627031,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805875955741948,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805876055607960,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805876155703783,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805876255690778,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805876355582553,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805876455602909,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805876555632740,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805876655601255,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805876755688228,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805876855647381,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805876955662382,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805877055716721,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805877155641628,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805877255744796,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805877355602310,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805877455480211,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805877555662243,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805877655609556,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805877755740562,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805877855621740,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805877955746713,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805878055757521,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805878155591613,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805878255646285,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805878355780404,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805878455547722,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805878555580319,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805878655662103,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805878755659698,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805878855694984,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805878955708621,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805879055610741,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805879155760967,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805879255601375,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805879355753544,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805879455777346,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805879555674549,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805879655671011,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805879755627975,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805879855612822,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805879955707164,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805880055808902,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805880155635314,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805880255620560,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805880355662611,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805880455574818,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805880555633924,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805880655634492,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805880755708173,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805880855620817,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805880955734111,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805881055606653,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805881155675119,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805881255623257,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805881355749981,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805881455734272,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805881555584519,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805881655629203,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805881755650703,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805881855606631,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805881955565770,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805882055588544,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805882155567199,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805882255667986,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805882355578132,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805882455609947,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805882555658763,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805882655957132,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805882755607786,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805882855709681,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805882955787175,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805883055679608,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805883155625326,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805883255715504,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805883355624000,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805883455576782,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805883555628192,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805883655613360,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805883755649682,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805883855596900,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805883955924548,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805884055626624,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805884155654234,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805884255829602,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805884355625239,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805884455598972,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805884555622079,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805884655628985,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805884755643659,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805884855657810,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805884955742044,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805885055761040,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805885155640195,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805885255758940,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805885355710557,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805885455625769,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805885555585090,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
