%time,field.control_vel,field.desired_vel,field.control_pitch,field.desired_pitch,field.control_yaw,field.desired_yaw
1492805867077997972,0,0.0,0,0.0,0,0.0
1492805867177997720,0,0.0,0,0.0,0,0.0
1492805867277877756,0,0.0,0,0.0,0,0.0
1492805867378066116,0,0.0,0,0.0,0,0.0
1492805867477995378,0,0.0,0,0.0,0,0.0
1492805867577921195,0,0.0,0,0.0,0,0.0
1492805867677873811,0,0.0,0,0.0,0,0.0
1492805867777937177,0,0.0,0,0.0,0,0.0
1492805867877925727,0,0.0,0,0.0,0,0.0
1492805867977932888,0,0.0,0,0.0,0,0.0
1492805868077827187,0,0.0,0,0.0,0,0.0
1492805868177935012,0,0.0,0,0.0,0,0.0
1492805868277965598,0,0.0,0,0.0,0,0.0
1492805868377837072,0,0.0,0,0.0,0,0.0
1492805868477921320,0,0.0,0,0.0,0,0.0
1492805868577935105,0,0.0,0,0.0,0,0.0
1492805868677940414,0,0.0,0,0.0,0,0.0
1492805868777914639,0,0.0,0,0.0,0,0.0
1492805868877930968,0,0.0,0,0.0,0,0.0
1492805868977841954,0,0.0,0,0.0,0,0.0
1492805869077903565,0,0.0,0,0.0,0,0.0
1492805869177890193,0,0.0,0,0.0,0,0.0
1492805869277951674,0,0.0,0,0.0,0,0.0
1492805869377869433,0,0.0,0,0.0,0,0.0
1492805869477950387,0,0.0,0,0.0,0,0.0
1492805869577988204,0,0.0,0,0.0,0,0.0
1492805869677899013,0,0.0,0,0.0,0,0.0
1492805869777959994,0,0.0,0,0.0,0,0.0
1492805869877895396,0,0.0,0,0.0,0,0.0
1492805869978005068,0,0.0,0,0.0,0,0.0
1492805870077939198,0,0.0,0,0.0,0,0.0
1492805870177912704,0,0.0,0,0.0,0,0.0
1492805870277916618,0,0.0,0,0.0,0,0.0
1492805870377888787,0,0.0,0,0.0,0,0.0
1492805870477879638,0,0.0,0,0.0,0,0.0
1492805870577932725,0,0.0,0,0.0,0,0.0
1492805870677938038,0,0.0,0,0.0,0,0.0
1492805870777954807,0,0.0,0,0.0,0,0.0
