# Time	Velocity	Pitch	Yaw
-4.5777582	0.0000000	0.0000000	0.0000000
-4.4777585	0.0000000	0.0000000	0.0000000
-4.3778785	0.0000000	0.0000000	0.0000000
-4.2776901	0.0000000	0.0000000	0.0000000
-4.1777610	0.0000000	0.0000000	0.0000000
-4.0778350	0.0000000	0.0000000	0.0000000
-3.9778824	0.0000000	0.0000000	0.0000000
-3.8778191	0.0000000	0.0000000	0.0000000
-3.7778307	0.0000000	0.0000000	0.0000000
-3.6778235	0.0000000	0.0000000	0.0000000
-3.5779292	0.0000000	0.0000000	0.0000000
-3.4778212	0.0000000	0.0000000	0.0000000
-3.3777907	0.0000000	0.0000000	0.0000000
-3.2779192	0.0000000	0.0000000	0.0000000
-3.1778350	0.0000000	0.0000000	0.0000000
-3.0778212	0.0000000	0.0000000	0.0000000
-2.9778158	0.0000000	0.0000000	0.0000000
-2.8778417	0.0000000	0.0000000	0.0000000
-2.7778253	0.0000000	0.0000000	0.0000000
-2.6779144	0.0000000	0.0000000	0.0000000
-2.5778527	0.0000000	0.0000000	0.0000000
-2.4778660	0.0000000	0.0000000	0.0000000
-2.3778045	0.0000000	0.0000000	0.0000000
-2.2778870	0.0000000	0.0000000	0.0000000
-2.1778058	0.0000000	0.0000000	0.0000000
-2.0777682	0.0000000	0.0000000	0.0000000
-1.9778573	0.0000000	0.0000000	0.0000000
-1.8777964	0.0000000	0.0000000	0.0000000
-1.7778609	0.0000000	0.0000000	0.0000000
-1.6777513	0.0000000	0.0000000	0.0000000
-1.5778171	0.0000000	0.0000000	0.0000000
-1.4778435	0.0000000	0.0000000	0.0000000
-1.3778396	0.0000000	0.0000000	0.0000000
-1.2778675	0.0000000	0.0000000	0.0000000
-1.1778767	0.0000000	0.0000000	0.0000000
-1.0778235	0.0000000	0.0000000	0.0000000
-0.9778184	0.0000000	0.0000000	0.0000000
-0.8778015	0.0000000	0.0000000	0.0000000
-0.7779372	0.0000000	0.0000000	0.0000000
-0.6778675	0.0000000	0.0000000	0.0000000
-0.5778204	0.0000000	0.0000000	0.0000000
-0.4778583	0.0000000	0.0000000	0.0000000
-0.3778045	0.0000000	0.0000000	0.0000000
-0.2777979	0.0000000	0.0000000	0.0000000
-0.1778547	0.0000000	0.0000000	0.0000000
