%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1492809919437359800,7498,1492809919437215089,robot_frame,0,1,33.4609978333,-117.7062,-34.3,0.9801,0.0,0.0,0.0,0.9801,0.0,0.0,0.0,3.9204,1
1492809920441387118,7499,1492809920441112041,robot_frame,0,1,33.4609901667,-117.706203667,-34.4,0.9801,0.0,0.0,0.0,0.9801,0.0,0.0,0.0,3.9204,1
1492809921444219885,7500,1492809921443913936,robot_frame,0,1,33.4609821667,-117.706206667,-34.2,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809922442963636,7501,1492809922442804098,robot_frame,0,1,33.4609728333,-117.706208833,-34.0,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809923441822673,7502,1492809923441603899,robot_frame,0,1,33.4609638333,-117.706211833,-33.8,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809924441665875,7503,1492809924441432952,robot_frame,0,1,33.4609545,-117.706214667,-33.7,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809925441504667,7504,1492809925441250085,robot_frame,0,1,33.4609455,-117.706219,-33.9,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809926441411307,7505,1492809926441135883,robot_frame,0,1,33.4609365,-117.706224,-34.3,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809927442181664,7506,1492809927441987037,robot_frame,0,1,33.4609275,-117.7062285,-34.5,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809928441103297,7507,1492809928440821886,robot_frame,0,1,33.4609178333,-117.706233333,-34.5,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809929445987664,7508,1492809929445710897,robot_frame,0,1,33.4609063333,-117.706236833,-34.3,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809930439643749,7509,1492809930439472913,robot_frame,0,1,33.4608945,-117.70624,-34.4,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809931443519618,7510,1492809931443238019,robot_frame,0,1,33.4608835,-117.706244667,-34.1,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809932442314344,7511,1492809932442043066,robot_frame,0,1,33.4608731667,-117.706249333,-34.2,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809933441004912,7512,1492809933440814018,robot_frame,0,1,33.4608636667,-117.706255667,-34.3,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809934440850189,7513,1492809934440598011,robot_frame,0,1,33.4608526667,-117.706261667,-34.3,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809935440775478,7514,1492809935440448045,robot_frame,0,1,33.4608438333,-117.70627,-34.8,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809936441440869,7515,1492809936441225051,robot_frame,0,1,33.4608315,-117.706280333,-35.0,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809937441306326,7516,1492809937441108942,robot_frame,0,1,33.4608241667,-117.706289167,-35.5,1.4884,0.0,0.0,0.0,1.4884,0.0,0.0,0.0,5.9536,1
1492809938441132416,7517,1492809938440888881,robot_frame,0,1,33.4608151667,-117.706295333,-35.5,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809939430037167,7518,1492809939429778099,robot_frame,0,1,33.4608085,-117.706300167,-35.6,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809940430792708,7519,1492809940430512905,robot_frame,0,1,33.4608013333,-117.706306667,-35.5,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809941426693018,7520,1492809941426444053,robot_frame,0,1,33.4607991667,-117.706307667,-35.1,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809942429433659,7521,1492809942429207086,robot_frame,0,1,33.4607986667,-117.7063025,-34.6,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809943428164490,7522,1492809943427953004,robot_frame,0,1,33.4608018333,-117.706308167,-32.8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1
1492809944428027640,7523,1492809944427726984,robot_frame,0,1,33.4608025,-117.706305833,-32.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1
1492809945427782658,7524,1492809945427540063,robot_frame,0,1,33.4608021667,-117.706301333,-31.6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1
1492809946428557378,7525,1492809946428308010,robot_frame,0,1,33.460802,-117.706300333,-31.4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1
1492809947428431046,7526,1492809947428159952,robot_frame,0,1,33.4608025,-117.7063,-31.5,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809948425413656,7527,1492809948425098896,robot_frame,0,1,33.4608003333,-117.706313667,-33.2,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809949430061408,7528,1492809949429811000,robot_frame,0,1,33.460799,-117.7063175,-33.7,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
