%time,field.control_vel,field.desired_vel,field.control_pitch,field.desired_pitch,field.control_yaw,field.desired_yaw
1492809889377891913,0,0.0,0,0.0,0,0.0
1492809889477975692,0,0.0,0,0.0,0,0.0
1492809889577954900,0,0.0,0,0.0,0,0.0
1492809889678007032,0,0.0,0,0.0,0,0.0
1492809889777992196,0,0.0,0,0.0,0,0.0
1492809889878164879,0,0.0,0,0.0,0,0.0
1492809889978012218,0,0.0,0,0.0,0,0.0
1492809890078003477,0,0.0,0,0.0,0,0.0
1492809890178010195,0,0.0,0,0.0,0,0.0
1492809890278149949,0,0.0,0,0.0,0,0.0
1492809890378032771,0,0.0,0,0.0,0,0.0
1492809890477870745,0,0.0,0,0.0,0,0.0
1492809890577877864,0,0.0,0,0.0,0,0.0
1492809890678025003,0,0.0,0,0.0,0,0.0
1492809890778002548,0,0.0,0,0.0,0,0.0
1492809890877977694,0,0.0,0,0.0,0,0.0
1492809890978062264,0,0.0,0,0.0,0,0.0
1492809891078053809,0,0.0,0,0.0,0,0.0
1492809891178002757,0,0.0,0,0.0,0,0.0
1492809891278005487,0,0.0,0,0.0,0,0.0
1492809891378002984,0,0.0,0,0.0,0,0.0
1492809891477927813,0,0.0,0,0.0,0,0.0
1492809891577923225,0,0.0,0,0.0,0,0.0
1492809891678040526,0,0.0,0,0.0,0,0.0
1492809891777976385,0,0.0,0,0.0,0,0.0
1492809891878004815,0,0.0,0,0.0,0,0.0
1492809891977996783,0,0.0,0,0.0,0,0.0
1492809892077956728,0,0.0,0,0.0,0,0.0
1492809892177833487,0,0.0,0,0.0,0,0.0
1492809892277916586,0,0.0,0,0.0,0,0.0
1492809892377940395,0,0.0,0,0.0,0,0.0
1492809892478001900,0,0.0,0,0.0,0,0.0
1492809892578020281,0,0.0,0,0.0,0,0.0
1492809892677965583,0,0.0,0,0.0,0,0.0
1492809892777964789,0,0.0,0,0.0,0,0.0
1492809892877923607,0,0.0,0,0.0,0,0.0
1492809892978053726,0,0.0,0,0.0,0,0.0
1492809893078009316,0,0.0,0,0.0,0,0.0
1492809893178005223,0,0.0,0,0.0,0,0.0
1492809893278000666,0,0.0,0,0.0,0,0.0
1492809893377944991,0,0.0,0,0.0,0,0.0
1492809893478007257,0,0.0,0,0.0,0,0.0
1492809893577985833,0,0.0,0,0.0,0,0.0
1492809893677912155,0,0.0,0,0.0,0,0.0
1492809893777942738,0,0.0,0,0.0,0,0.0
1492809893878016507,0,0.0,0,0.0,0,0.0
1492809893978111693,1,0.00183430220932,0,0.0,1,0.600000023842
1492809894078099694,1,0.00473466748372,0,0.0,1,0.600000023842
1492809894177969457,1,0.00766163412482,0,0.0,1,0.600000023842
1492809894278129057,1,0.0106267435476,0,0.0,1,0.600000023842
1492809894378086450,1,0.0136219076812,0,0.0,1,0.600000023842
1492809894478049972,1,0.016642447561,0,0.0,1,0.600000023842
1492809894578089262,1,0.0196966249496,0,0.0,1,0.600000023842
1492809894678087311,1,0.0227748006582,0,0.0,1,0.600000023842
1492809894778103744,1,0.0258819051087,0,0.0,1,0.600000023842
1492809894878087715,1,0.0290108192712,0,0.0,1,0.600000023842
1492809894978004041,1,0.0321610495448,0,0.0,1,0.600000023842
1492809895078178695,1,0.035339128226,0,0.0,1,0.600000023842
1492809895178125952,1,0.0385352745652,0,0.0,1,0.600000023842
1492809895278094325,1,0.041750241071,0,0.0,1,0.600000023842
1492809895378051088,1,0.0449830852449,0,0.0,1,0.600000023842
1492809895478122499,1,0.0482359752059,0,0.0,1,0.600000023842
1492809895578058255,1,0.0514976195991,0,0.0,1,0.600000023842
1492809895678010121,1,0.0547785758972,0,0.0,1,0.600000023842
1492809895777960833,1,0.058071680367,0,0.0,1,0.600000023842
1492809895878105740,1,0.0613807663321,0,0.0,1,0.600000023842
1492809895978062041,1,0.0646957978606,0,0.0,1,0.600000023842
1492809896078111493,1,0.0680176019669,0,0.0,1,0.600000023842
1492809896177924300,1,0.0713497772813,0,0.0,1,0.600000023842
1492809896278157888,1,0.0746926143765,0,0.0,1,0.600000023842
1492809896378089126,1,0.0780362263322,0,0.0,1,0.600000023842
1492809896478026754,1,0.0813848748803,0,0.0,1,0.600000023842
1492809896578052568,1,0.0847367793322,0,0.0,1,0.600000023842
1492809896678138306,1,0.088090673089,0,0.0,1,0.600000023842
1492809896777973856,1,0.0914405211806,0,0.0,1,0.600000023842
1492809896878170822,1,0.0947944968939,0,0.0,1,0.600000023842
1492809896978149448,1,0.0981440618634,0,0.0,1,0.600000023842
1492809897078078511,1,0.101489245892,0,0.0,1,0.600000023842
1492809897177967902,1,0.104829438031,0,0.0,1,0.600000023842
1492809897278022865,1,0.108163803816,0,0.0,1,0.600000023842
1492809897378058823,1,0.111491501331,0,0.0,1,0.600000023842
1492809897478090869,1,0.114808157086,0,0.0,1,0.600000023842
1492809897578107522,1,0.118118718266,0,0.0,1,0.600000023842
1492809897678041089,1,0.12141328305,0,0.0,1,0.600000023842
1492809897778055702,1,0.124698758125,0,0.0,1,0.600000023842
1492809897878044895,1,0.127971500158,0,0.0,1,0.600000023842
1492809897978053253,1,0.131224155426,0,0.0,1,0.600000023842
1492809898078152460,1,0.134464085102,0,0.0,1,0.600000023842
1492809898178025599,1,0.137684419751,0,0.0,1,0.600000023842
1492809898278110340,1,0.140884906054,0,0.0,1,0.600000023842
1492809898378056350,1,0.144066616893,0,0.0,1,0.600000023842
1492809898478203936,1,0.147227376699,0,0.0,1,0.600000023842
1492809898578143398,1,0.150359973311,0,0.0,1,0.600000023842
1492809898678122172,1,0.153472349048,0,0.0,1,0.600000023842
1492809898778074451,1,0.156559884548,0,0.0,1,0.600000023842
1492809898878129381,1,0.159622266889,0,0.0,1,0.600000023842
1492809898978065652,1,0.162652075291,0,0.0,1,0.600000023842
1492809899078069842,1,0.165655583143,0,0.0,1,0.600000023842
1492809899178143429,1,0.168625861406,0,0.0,1,0.600000023842
1492809899278125513,1,0.171565085649,0,0.0,1,0.600000023842
1492809899378090413,1,0.174471065402,0,0.0,1,0.600000023842
1492809899478092977,1,0.177343189716,0,0.0,1,0.600000023842
1492809899578165594,1,0.180179774761,0,0.0,1,0.600000023842
1492809899677949842,1,0.182976394892,0,0.0,1,0.600000023842
1492809899778129740,1,0.185739457607,0,0.0,1,0.600000023842
1492809899878008504,1,0.188458740711,0,0.0,1,0.600000023842
1492809899978038172,1,0.191137000918,0,0.0,1,0.600000023842
1492809900078087966,1,0.193778455257,0,0.0,1,0.600000023842
1492809900178109240,1,0.196371272206,0,0.0,1,0.600000023842
1492809900278055079,1,0.198919638991,0,0.0,1,0.600000023842
1492809900378093823,1,0.201421767473,0,0.0,1,0.600000023842
1492809900478068132,1,0.203877449036,0,0.0,1,0.600000023842
1492809900577994860,1,0.206284537911,0,0.0,1,0.600000023842
1492809900678129225,1,0.208643510938,0,0.0,1,0.600000023842
1492809900778091242,1,0.210947528481,0,0.0,1,0.600000023842
1492809900878133146,1,0.213201150298,0,0.0,1,0.600000023842
1492809900978041732,1,0.215399488807,0,0.0,1,0.600000023842
1492809901078127589,1,0.217546910048,0,0.0,1,0.600000023842
1492809901178121007,1,0.219634786248,0,0.0,1,0.600000023842
1492809901278103464,1,0.221663996577,0,0.0,1,0.600000023842
1492809901378020145,1,0.223635688424,0,0.0,1,0.600000023842
1492809901478096383,1,0.225545406342,0,0.0,1,0.600000023842
1492809901578066702,1,0.22739584744,0,0.0,1,0.600000023842
1492809901678092803,1,0.229183331132,0,0.0,1,0.600000023842
1492809901778016077,1,0.230904743075,0,0.0,1,0.600000023842
1492809901878112672,1,0.23256278038,0,0.0,1,0.600000023842
1492809901978086433,1,0.234152168036,0,0.0,1,0.600000023842
1492809902077966575,1,0.235673904419,0,0.0,1,0.600000023842
1492809902178070047,1,0.237128660083,0,0.0,1,0.600000023842
1492809902278148473,1,0.238512352109,0,0.0,1,0.600000023842
1492809902378111258,1,0.239822983742,0,0.0,1,0.600000023842
1492809902478016806,1,0.241059660912,0,0.0,1,0.600000023842
1492809902578045229,1,0.242223843932,0,0.0,1,0.600000023842
1492809902678067340,1,0.243311166763,0,0.0,1,0.600000023842
1492809902778119607,1,0.244322940707,0,0.0,1,0.600000023842
1492809902878089243,1,0.245255231857,0,0.0,1,0.600000023842
1492809902978117241,1,0.246108055115,0,0.0,1,0.600000023842
1492809903078046927,1,0.246880069375,0,0.0,1,0.600000023842
1492809903177954856,1,0.247570067644,0,0.0,1,0.600000023842
1492809903278081652,1,0.248176947236,0,0.0,1,0.600000023842
1492809903378091446,1,0.248699322343,0,0.0,1,0.600000023842
1492809903478114301,1,0.249135270715,0,0.0,1,0.600000023842
1492809903578126215,1,0.249483928084,0,0.0,1,0.600000023842
1492809903678028915,1,0.249744176865,0,0.0,1,0.600000023842
1492809903778140073,1,0.249914646149,0,0.0,1,0.600000023842
1492809903878077487,1,0.24999396503,0,0.0,1,0.600000023842
1492809903978062544,1,0.25,0,0.0,1,0.600019454956
1492809904078058757,1,0.25,0,0.0,1,0.6001278162
1492809904178110119,1,0.25,0,0.0,1,0.600330591202
1492809904278031430,1,0.25,0,0.0,1,0.600627183914
1492809904378061674,1,0.25,0,0.0,1,0.601017177105
1492809904478116156,1,0.25,0,0.0,1,0.601500511169
