%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.header.frame_id,field.transforms0.child_frame_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w
1492809889603490368,0,1492809889593242407,odom,robot_frame,1.82934141572e-10,3.26290250987e-11,-0.394010630459,0.00318736177902,-0.159112807156,0.597574449245,0.785861141
1492809889703306151,0,1492809889701905012,odom,robot_frame,0.000112952833262,0.000527347765903,-0.39095020346,-0.00149962704823,-0.153687210213,0.599753500091,0.785285764333
1492809889803351993,0,1492809889791268349,odom,robot_frame,0.000468617577064,0.00133616574562,-0.384787029943,-0.00266823880653,-0.150584314722,0.601511100522,0.784539126246
1492809889903499112,0,1492809889893004417,odom,robot_frame,0.00111229326123,0.00177215710529,-0.389707248982,-0.00153640563161,-0.151630799978,0.602418572853,0.78364379857
1492809890003359766,0,1492809889998549938,odom,robot_frame,0.00175431167902,0.00122277005274,-0.390950202909,0.0029792180147,-0.156017641568,0.60227817637,0.782886082421
1492809890103357013,0,1492809890091047287,odom,robot_frame,0.00219714690285,0.000187987224652,-0.385776898948,0.00804451687557,-0.163284704715,0.601052188354,0.782310461281
1492809890203601363,0,1492809890192681313,odom,robot_frame,0.00281609926782,-0.000563874977122,-0.39416753567,0.0143458493593,-0.170512826709,0.599884761078,0.781573954249
1492809890303806803,0,1492809890295852900,odom,robot_frame,0.00350218983252,-0.000387407848848,-0.394010630478,0.02016204832,-0.175990645421,0.599360388123,0.780633018569
1492809890403370665,0,1492809890391000032,odom,robot_frame,0.00428001987013,0.000765057534078,-0.393011932112,0.0230912929998,-0.179124148862,0.599570728088,0.779677031535
1492809890503578803,0,1492809890492594004,odom,robot_frame,0.0053601355452,0.00266826278473,-0.396966174136,0.023554049946,-0.17924268778,0.600760158836,0.778719780899
1492809890603375846,0,1492809890591898918,odom,robot_frame,0.00611574774266,0.00418201811195,-0.387888182338,0.0215975718026,-0.177447664049,0.602366164445,0.777946576153
1492809890703530832,0,1492809890690513372,odom,robot_frame,0.00680235128781,0.00497555419077,-0.38989475815,0.0187466592655,-0.174744246855,0.603788907096,0.777529399203
1492809890803323747,0,1492809890792088509,odom,robot_frame,0.00695265525033,0.00427946261802,-0.390251973149,0.0159624695916,-0.172060088882,0.604607109233,0.777554351055
1492809890903365019,0,1492809890888972998,odom,robot_frame,0.00653373779104,0.00228601793131,-0.386867773727,0.013733647218,-0.169318239107,0.604723458999,0.778108128075
1492809891003453637,0,1492809890990192413,odom,robot_frame,0.00602124600075,-0.000230388271881,-0.388315836882,0.0118248922744,-0.166182120773,0.604521576794,0.778971975008
1492809891103401718,0,1492809891091869116,odom,robot_frame,0.00570745492552,-0.00214949086465,-0.389856763137,0.00989807570661,-0.162668239431,0.604479690987,0.77977264325
1492809891203354667,0,1492809891188430786,odom,robot_frame,0.00583172823173,-0.00279674177206,-0.392004528951,0.00803917835579,-0.159405502504,0.604922515075,0.780124354279
1492809891303488599,0,1492809891290133715,odom,robot_frame,0.00630230081527,-0.00224044628134,-0.394467548204,0.00705521841141,-0.157635222,0.605717955845,0.779876348305
1492809891403344320,0,1492809891391723156,odom,robot_frame,0.00650878457362,-0.00138139104997,-0.3915297258,0.00801921148669,-0.158566371536,0.606612947904,0.778982111155
1492809891503522817,0,1492809891488288879,odom,robot_frame,0.00633151163644,-0.000821011629315,-0.384846891305,0.0114026137874,-0.162268247177,0.607267046908,0.777666850326
1492809891603331191,0,1492809891589782476,odom,robot_frame,0.00680197807994,0.000273107423655,-0.391462142276,0.0165328852113,-0.167408713495,0.607537601109,0.776272535642
1492809891703398912,0,1492809891691224575,odom,robot_frame,0.0068987475105,0.000826619212378,-0.390284221271,0.0216052072676,-0.171692861548,0.607614064855,0.775151549378
1492809891803326892,0,1492809891792842388,odom,robot_frame,0.00740296663245,0.00170680840162,-0.390333160569,0.0246931259389,-0.173390219844,0.607775491552,0.774554732129
1492809891903349671,0,1492809891889369011,odom,robot_frame,0.00809059831733,0.0029011460446,-0.386748746533,0.0247387409569,-0.172368942795,0.608237071723,0.774418883316
1492809892003505579,0,1492809891990904570,odom,robot_frame,0.00958935365162,0.00463598930588,-0.386973507032,0.0219658258744,-0.169729717648,0.608879605929,0.774580499964
1492809892103543151,0,1492809892092421055,odom,robot_frame,0.0118748340077,0.0066049998983,-0.391059646731,0.0176855019444,-0.167132785178,0.609624213173,0.774669073768
1492809892203550524,0,1492809892188922167,odom,robot_frame,0.0142041544375,0.00814081060076,-0.392981136769,0.0137176400612,-0.166078175094,0.610220861915,0.774506530503
1492809892303306156,0,1492809892300250053,odom,robot_frame,0.0163493789443,0.00860053149487,-0.388908589928,0.0116502818046,-0.167361779727,0.610402515382,0.774120839944
1492809892403359696,0,1492809892392019510,odom,robot_frame,0.0179059212792,0.00831505992627,-0.388689293605,0.0114470529004,-0.170108942609,0.610171088235,0.773707409623
1492809892503389273,0,1492809892488420725,odom,robot_frame,0.0190689010808,0.00754714255419,-0.391870942094,0.0131575035845,-0.173393083231,0.60966913382,0.773346795464
1492809892603335164,0,1492809892597253084,odom,robot_frame,0.0190295896132,0.00585947526066,-0.386867773839,0.0157497036925,-0.175535989674,0.609291899473,0.773112180992
1492809892703349152,0,1492809892691550732,odom,robot_frame,0.0189582186039,0.00542111062613,-0.394546162231,0.0178875117916,-0.176265944784,0.609092950306,0.773056357272
