%time,field.header.seq,field.header.stamp,field.header.frame_id,field.RPY.x,field.RPY.y,field.RPY.z,field.Mag.x,field.Mag.y,field.Mag.z,field.Accel.x,field.Accel.y,field.Accel.z,field.Gyro.x,field.Gyro.y,field.Gyro.z,field.LinearAccelBody.x,field.LinearAccelBody.y,field.LinearAccelBody.z,field.LinearAccelNed.x,field.LinearAccelNed.y,field.LinearAccelNed.z
1492809889329161366,373458,0,,-10.9137382507,17.4097232819,13.9570608139,-0.109168969095,-0.317798763514,0.351451545954,2.86283993721,1.73875045776,-9.03817939758,-0.0306624248624,-0.158062875271,-0.0176167208701,-0.0674752965569,-0.0305640026927,0.137888491154,-0.020546913147,-0.00913000106812,0.154902458191
1492809889349480739,373459,0,,-10.9415493011,17.2227363586,13.9760684967,-0.107008360326,-0.320918142796,0.351391732693,2.86820173264,1.70495462418,-9.09429740906,-0.028402550146,-0.165998876095,-0.0163088105619,-0.0316002294421,-0.0706191435456,0.0902516767383,0.0126297473907,-0.0506541728973,0.106797218323
1492809889369786445,373460,0,,-10.9654226303,17.0281085968,13.9952316284,-0.105810761452,-0.317813813686,0.353728294373,2.85254383087,1.71977412701,-9.04121494293,-0.0247909817845,-0.172715350986,-0.0189781785011,-0.0154644437134,-0.0614896714687,0.152210921049,0.0390338897705,-0.022646188736,0.158593177795
1492809889390109062,373461,0,,-10.9855728149,16.8259410858,14.015630722,-0.103548444808,-0.31678289175,0.351611167192,2.85944890976,1.72141456604,-9.03769683838,-0.0205247420818,-0.179414838552,-0.0188259966671,0.0245000869036,-0.06499992311,0.164979696274,0.0795564651489,-0.0135045051575,0.15978717804
1492809889410410225,373462,0,,-11.0031347275,16.6178264618,14.0368471146,-0.103599376976,-0.318855315447,0.351533293724,2.82851099968,1.71994483471,-9.07521820068,-0.0196132641286,-0.183005183935,-0.02078384161,0.0276325494051,-0.0712432861328,0.136955708265,0.0773818492889,-0.0257954597473,0.133950233459
1492809889430680657,373463,0,,-11.0164890289,16.4056358337,14.0553035736,-0.101360015571,-0.31886446476,0.353780657053,2.83732366562,1.73404765129,-9.06325340271,-0.0149025572464,-0.186345353723,-0.0229643620551,0.0712187439203,-0.0612582601607,0.15862287581,0.119381189346,-0.000850677490234,0.140475273132
1492809889451037686,373464,0,,-11.0273723602,16.1887168884,14.0714654922,-0.0991477146745,-0.319908559322,0.353791028261,2.82761693001,1.75142252445,-9.04313373566,-0.0112242922187,-0.190323933959,-0.0254244916141,0.0971013382077,-0.0476249307394,0.188613712788,0.145576357841,0.0254912376404,0.159466743469
1492809889471345728,373465,0,,-11.0346231461,15.9706926346,14.0839233398,-0.0990963354707,-0.317835360765,0.353865683079,2.80550527573,1.72740864754,-9.07369327545,-0.00761305401102,-0.190172865987,-0.0284679755569,0.110799387097,-0.0747826620936,0.167957663536,0.161174178123,-0.00209498405457,0.141764640808
1492809889491717843,373466,0,,-11.0404214859,15.7522802353,14.0937862396,-0.0957636013627,-0.318885833025,0.356101483107,2.80750226974,1.76672649384,-9.11111545563,-0.00622417032719,-0.190448701382,-0.0320099033415,0.148708820343,-0.0383541733027,0.140367865562,0.179646492004,0.0340056419373,0.0992937088013
1492809889511993236,373467,0,,-11.0435371399,15.5357046127,14.0988912582,-0.0946719124913,-0.319923907518,0.353884875774,2.77388286591,1.78507852554,-9.16502571106,-0.00325629068539,-0.187636360526,-0.0353389047086,0.150737479329,-0.0224175825715,0.0961581319571,0.167360067368,0.0383403301239,0.0546932220459
1492809889532282584,373468,0,,-11.044131279,15.3211193085,14.100320816,-0.0946729555726,-0.319923609495,0.352786302567,2.73725962639,1.79929625988,-9.15662479401,0.00115842395462,-0.183791294694,-0.0388996936381,0.149472668767,-0.0101650645956,0.114116892219,0.166123628616,0.0539815425873,0.070405960083
1492809889552649858,373469,0,,-11.042760849,15.1104640961,14.0945568085,-0.0924585908651,-0.320969343185,0.354996353388,2.70572471619,1.78969192505,-9.17925167084,0.00450333021581,-0.180492401123,-0.0434998720884,0.152683496475,-0.0213577430695,0.100808165967,0.169419527054,0.0408334732056,0.0596685409546
1492809889572967706,373470,0,,-11.0399866104,14.905790329,14.0858001709,-0.0924832820892,-0.322007328272,0.356060624123,2.67485737801,1.7988884449,-9.19593238831,0.00546021666378,-0.173585474491,-0.0451510474086,0.155607894063,-0.0134471496567,0.0931076109409,0.168165802956,0.0469708442688,0.0507707595825
1492809889593379453,373471,0,,-11.0360422134,14.7078638077,14.0720777512,-0.0901963859797,-0.319939881563,0.352882385254,2.6373360157,1.7882694006,-9.23776054382,0.00835980381817,-0.166408389807,-0.0492684878409,0.150794878602,-0.0250818729401,0.059891410172,0.16033411026,0.0266299247742,0.0232162475586
1492809889608585021,373472,0,,-11.0315475464,14.5193920135,14.0525074005,-0.0879311040044,-0.318912625313,0.355168014765,2.5864109993,1.81217908859,-9.26523971558,0.00923942402005,-0.156505301595,-0.0512584373355,0.13104493916,-0.00199775327928,0.0405305586755,0.131424307823,0.0388691425323,0.00602722167969
1492809889628898787,373473,0,,-11.0263328552,14.3410968781,14.0275268555,-0.0868111848831,-0.318917036057,0.356291174889,2.52604103088,1.83715367317,-9.27307033539,0.0110395047814,-0.146415755153,-0.0532712563872,0.100189477205,0.0223712678999,0.0403206273913,0.0954633951187,0.0544323921204,0.00938129425049
1492809889649247257,373474,0,,-11.0197677612,14.1751499176,13.9988479614,-0.0846005901694,-0.319960206747,0.35410168767,2.49742650986,1.84119224548,-9.32257175446,0.0136103592813,-0.133670344949,-0.0546327419579,0.0990664586425,0.0261416528374,-0.00211479328573,0.0854074954987,0.0473210811615,-0.03111743927
1492809889669571704,373475,0,,-11.0143880844,14.0218715668,13.9672956467,-0.0845963656902,-0.319963544607,0.359601676464,2.4484205246,1.84752345085,-9.32468986511,0.0114042619243,-0.122234232724,-0.0540681928396,0.0754718109965,0.0321283712983,0.0022012963891,0.0624094009399,0.0484533309937,-0.0221452713013
1492809889689840420,373476,0,,-11.0095691681,13.8837709427,13.9323339462,-0.0856124311686,-0.315813958645,0.359728574753,2.40494608879,1.85761129856,-9.3477306366,0.0124245248735,-0.106901563704,-0.0552581734955,0.0549072623253,0.0419136583805,-0.0150998421013,0.0372071266174,0.0486483573914,-0.0353345870972
