%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1492809889349489451,373459,1492809889349351357,robot_frame,0.0175202341917,-0.175483187442,0.5948630644,0.784242763219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028402550146,0.165998876095,0.0163088105619,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,-0.0316002294421,0.0706191435456,-0.0902516767383,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
1492809889369807028,373460,1492809889369680463,robot_frame,0.0162791043335,-0.17430751164,0.594976766061,0.784445415804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0247909817845,0.172715350986,0.0189781785011,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,-0.0154644437134,0.0614896714687,-0.152210921049,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
1492809889390125052,373461,1492809889390006300,robot_frame,0.0150213001283,-0.173061371575,0.59509716907,0.784655022618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0205247420818,0.179414838552,0.0188259966671,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,0.0245000869036,0.06499992311,-0.164979696274,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
1492809889410397771,373462,1492809889410296139,robot_frame,0.013748328326,-0.171761151835,0.595222945803,0.784868696603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0196132641286,0.183005183935,0.02078384161,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,0.0276325494051,0.0712432861328,-0.136955708265,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
1492809889430686365,373463,1492809889430570854,robot_frame,0.0124867625146,-0.170410498123,0.595377993522,0.7850665023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0149025572464,0.186345353723,0.0229643620551,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,0.0712187439203,0.0612582601607,-0.15862287581,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
1492809889451047315,373464,1492809889450933767,robot_frame,0.0112204077676,-0.169014141421,0.595557328362,0.785251484818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0112242922187,0.190323933959,0.0254244916141,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,0.0971013382077,0.0476249307394,-0.188613712788,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
1492809889471354255,373465,1492809889471245079,robot_frame,0.00997876161042,-0.167590252291,0.595767008933,0.785414382388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00761305401102,0.190172865987,0.0284679755569,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,0.110799387097,0.0747826620936,-0.167957663536,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
1492809889491726165,373466,1492809889491584093,robot_frame,0.00874902720635,-0.166155178441,0.595995065531,0.785560842686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00622417032719,0.190448701382,0.0320099033415,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,0.148708820343,0.0383541733027,-0.140367865562,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
1492809889512001056,373467,1492809889511871839,robot_frame,0.00755462239805,-0.16471738612,0.596255037829,0.785678674738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00325629068539,0.187636360526,0.0353389047086,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,0.150737479329,0.0224175825715,-0.0961581319571,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
1492809889532309341,373468,1492809889532188702,robot_frame,0.00639352413678,-0.163278951058,0.596539107588,0.785773673735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00115842395462,0.183791294694,0.0388996936381,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,0.149472668767,0.0101650645956,-0.114116892219,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
