# Time	Velocity	Pitch	Yaw
-4.6779167	0.0000000	0.0000000	0.0000000
-4.5778327	0.0000000	0.0000000	0.0000000
-4.4778537	0.0000000	0.0000000	0.0000000
-4.3778015	0.0000000	0.0000000	0.0000000
-4.2778163	0.0000000	0.0000000	0.0000000
-4.1776435	0.0000000	0.0000000	0.0000000
-4.0777964	0.0000000	0.0000000	0.0000000
-3.9778051	0.0000000	0.0000000	0.0000000
-3.8777984	0.0000000	0.0000000	0.0000000
-3.7776586	0.0000000	0.0000000	0.0000000
-3.6777756	0.0000000	0.0000000	0.0000000
-3.5779377	0.0000000	0.0000000	0.0000000
-3.4779308	0.0000000	0.0000000	0.0000000
-3.3777836	0.0000000	0.0000000	0.0000000
-3.2778061	0.0000000	0.0000000	0.0000000
-3.1778309	0.0000000	0.0000000	0.0000000
-3.0777462	0.0000000	0.0000000	0.0000000
-2.9777546	0.0000000	0.0000000	0.0000000
-2.8778058	0.0000000	0.0000000	0.0000000
-2.7778030	0.0000000	0.0000000	0.0000000
-2.6778056	0.0000000	0.0000000	0.0000000
-2.5778806	0.0000000	0.0000000	0.0000000
-2.4778852	0.0000000	0.0000000	0.0000000
-2.3777679	0.0000000	0.0000000	0.0000000
-2.2778322	0.0000000	0.0000000	0.0000000
-2.1778038	0.0000000	0.0000000	0.0000000
-2.0778117	0.0000000	0.0000000	0.0000000
-1.9778519	0.0000000	0.0000000	0.0000000
-1.8779750	0.0000000	0.0000000	0.0000000
-1.7778918	0.0000000	0.0000000	0.0000000
-1.6778680	0.0000000	0.0000000	0.0000000
-1.5778066	0.0000000	0.0000000	0.0000000
-1.4777882	0.0000000	0.0000000	0.0000000
-1.3778429	0.0000000	0.0000000	0.0000000
-1.2778437	0.0000000	0.0000000	0.0000000
-1.1778849	0.0000000	0.0000000	0.0000000
-1.0777549	0.0000000	0.0000000	0.0000000
-0.9777992	0.0000000	0.0000000	0.0000000
-0.8778033	0.0000000	0.0000000	0.0000000
-0.7778079	0.0000000	0.0000000	0.0000000
-0.6778634	0.0000000	0.0000000	0.0000000
-0.5778012	0.0000000	0.0000000	0.0000000
-0.4778227	0.0000000	0.0000000	0.0000000
-0.3778964	0.0000000	0.0000000	0.0000000
-0.2778657	0.0000000	0.0000000	0.0000000
-0.1777920	0.0000000	0.0000000	0.0000000
-0.0776968	0.0018343	0.0000000	0.6000000
0.0222912	0.0047347	0.0000000	0.6000000
0.1221609	0.0076616	0.0000000	0.6000000
0.2223206	0.0106267	0.0000000	0.6000000
0.3222779	0.0136219	0.0000000	0.6000000
0.4222415	0.0166424	0.0000000	0.6000000
0.5222807	0.0196966	0.0000000	0.6000000
0.6222789	0.0227748	0.0000000	0.6000000
0.7222953	0.0258819	0.0000000	0.6000000
0.8222792	0.0290108	0.0000000	0.6000000
0.9221955	0.0321610	0.0000000	0.6000000
1.0223703	0.0353391	0.0000000	0.6000000
1.1223173	0.0385353	0.0000000	0.6000000
1.2222858	0.0417502	0.0000000	0.6000000
1.3222426	0.0449831	0.0000000	0.6000000
1.4223140	0.0482360	0.0000000	0.6000000
1.5222497	0.0514976	0.0000000	0.6000000
1.6222016	0.0547786	0.0000000	0.6000000
1.7221524	0.0580717	0.0000000	0.6000000
1.8222973	0.0613808	0.0000000	0.6000000
1.9222536	0.0646958	0.0000000	0.6000000
2.0223030	0.0680176	0.0000000	0.6000000
2.1221158	0.0713498	0.0000000	0.6000000
2.2223493	0.0746926	0.0000000	0.6000000
2.3222807	0.0780362	0.0000000	0.6000000
2.4222182	0.0813849	0.0000000	0.6000000
2.5222441	0.0847368	0.0000000	0.6000000
2.6223299	0.0880907	0.0000000	0.6000000
2.7221652	0.0914405	0.0000000	0.6000000
2.8223624	0.0947945	0.0000000	0.6000000
2.9223409	0.0981441	0.0000000	0.6000000
3.0222700	0.1014892	0.0000000	0.6000000
3.1221594	0.1048294	0.0000000	0.6000000
3.2222144	0.1081638	0.0000000	0.6000000
3.3222502	0.1114915	0.0000000	0.6000000
3.4222822	0.1148082	0.0000000	0.6000000
3.5222991	0.1181187	0.0000000	0.6000000
3.6222326	0.1214133	0.0000000	0.6000000
3.7222472	0.1246988	0.0000000	0.6000000
3.8222364	0.1279715	0.0000000	0.6000000
3.9222449	0.1312242	0.0000000	0.6000000
4.0223439	0.1344641	0.0000000	0.6000000
4.1222170	0.1376844	0.0000000	0.6000000
4.2223020	0.1408849	0.0000000	0.6000000
4.3222479	0.1440666	0.0000000	0.6000000
4.4223954	0.1472274	0.0000000	0.6000000
4.5223350	0.1503600	0.0000000	0.6000000
4.6223137	0.1534723	0.0000000	0.6000000
4.7222659	0.1565599	0.0000000	0.6000000
4.8223209	0.1596223	0.0000000	0.6000000
4.9222572	0.1626521	0.0000000	0.6000000
5.0222612	0.1656556	0.0000000	0.6000000
5.1223350	0.1686259	0.0000000	0.6000000
5.2223171	0.1715651	0.0000000	0.6000000
5.3222820	0.1744711	0.0000000	0.6000000
