# Time	x	y	z	roll	pitch	yaw	vx	vy	vz	
0.3635794	0.0850983	0.0263525	-0.4021739	-0.1918454	-0.2619846	2.5963534	-0.0349362	-0.0182372	-0.0222166
0.4635443	0.0880966	0.0269836	-0.4066388	-0.1892370	-0.2493546	2.5972736	-0.0345544	-0.0187919	-0.0274811
0.5635717	0.0917468	0.0277224	-0.4115815	-0.1878620	-0.2442804	2.5985956	-0.0386955	-0.0194526	-0.0251297
0.6635456	0.0965805	0.0279378	-0.4144188	-0.1869405	-0.2454546	2.5993120	-0.0451901	-0.0230843	-0.0122558
0.7635648	0.1009477	0.0282206	-0.4165844	-0.1870892	-0.2527399	2.5993967	-0.0452675	-0.0290985	-0.0014773
0.8635220	0.1067080	0.0280975	-0.4121611	-0.1881343	-0.2636815	2.6003909	-0.0359711	-0.0377419	0.0102105
0.9635195	0.1121125	0.0293933	-0.4093168	-0.1898043	-0.2737660	2.6027301	-0.0258402	-0.0442379	0.0153234
1.0635448	0.1164238	0.0312437	-0.4070222	-0.1928535	-0.2824026	2.6058185	-0.0231752	-0.0467565	0.0124019
1.1635287	0.1212326	0.0339216	-0.4112828	-0.1953275	-0.2876863	2.6093862	-0.0255580	-0.0447259	-0.0023879
1.2635428	0.1256479	0.0364073	-0.4082963	-0.1966343	-0.2898659	2.6126964	-0.0286967	-0.0410392	-0.0148804
1.3637112	0.1293011	0.0389831	-0.4026012	-0.1962187	-0.2887861	2.6156087	-0.0276606	-0.0427562	-0.0233035
1.4637276	0.1338624	0.0424494	-0.4064514	-0.1945971	-0.2890814	2.6183112	-0.0263699	-0.0524268	-0.0295977
1.5635415	0.1386735	0.0468699	-0.4001417	-0.1924439	-0.2911370	2.6203222	-0.0266589	-0.0681907	-0.0214624
1.6635622	0.1449605	0.0523374	-0.4056157	-0.1899375	-0.2971511	2.6209955	-0.0336211	-0.0841367	-0.0242514
1.7636877	0.1525775	0.0589094	-0.4060955	-0.1869072	-0.3057526	2.6203251	-0.0407386	-0.0986442	-0.0241684
1.8637038	0.1607683	0.0664396	-0.4022020	-0.1839938	-0.3117068	2.6193593	-0.0421183	-0.1146597	-0.0185942
1.9636564	0.1707402	0.0750975	-0.4074602	-0.1822121	-0.3105290	2.6193292	-0.0335748	-0.1314840	-0.0193344
2.0635676	0.1804833	0.0861076	-0.4080108	-0.1823615	-0.3003158	2.6206714	-0.0186298	-0.1490359	-0.0114301
2.1635855	0.1900290	0.0986868	-0.4071549	-0.1843735	-0.2833182	2.6227315	-0.0074027	-0.1614335	-0.0028846
2.2635633	0.1994099	0.1122498	-0.4052913	-0.1875901	-0.2636820	2.6246769	-0.0065836	-0.1651057	0.0020816
2.3635648	0.2085010	0.1251172	-0.4036629	-0.1910880	-0.2461707	2.6258545	-0.0130107	-0.1641921	0.0019695
2.4635436	0.2172082	0.1391110	-0.4060580	-0.1941814	-0.2336779	2.6265084	-0.0217303	-0.1590916	-0.0033193
2.5636800	0.2271947	0.1505590	-0.4037470	-0.1964076	-0.2327148	2.6275890	-0.0254618	-0.1530597	-0.0095387
2.6635702	0.2386870	0.1646340	-0.4031943	-0.1961808	-0.2409965	2.6298904	-0.0260918	-0.1506678	-0.0169535
2.7635643	0.2497258	0.1732513	-0.3959758	-0.1972162	-0.2626719	2.6321300	-0.0283984	-0.1553628	-0.0169116
2.8635443	0.2587703	0.1862539	-0.4024081	-0.1953978	-0.2885504	2.6344869	-0.0331315	-0.1640928	-0.0319064
2.9637832	0.2715712	0.2019543	-0.4011543	-0.1912976	-0.3117460	2.6361116	-0.0356044	-0.1774922	-0.0431061
3.0639309	0.2814066	0.2153112	-0.4015106	-0.1896708	-0.3358448	2.6365941	-0.0353913	-0.1851436	-0.0497941
3.1635628	0.2931990	0.2314474	-0.4031892	-0.1880064	-0.3473007	2.6372520	-0.0353972	-0.1943609	-0.0505517
3.2637212	0.3040492	0.2501774	-0.4011543	-0.1884727	-0.3465509	2.6381178	-0.0321820	-0.2043363	-0.0441491
3.3635333	0.3171934	0.2651543	-0.4054505	-0.1896610	-0.3323565	2.6390288	-0.0274756	-0.2119948	-0.0448808
3.4636078	0.3266538	0.2849254	-0.3993764	-0.1913779	-0.3109440	2.6401505	-0.0183778	-0.2178313	-0.0424528
3.5636109	0.3398689	0.3046120	-0.4031943	-0.1932304	-0.2899050	2.6414544	-0.0131567	-0.2199058	-0.0496617
3.6635868	0.3505116	0.3230305	-0.4065214	-0.1921596	-0.2707446	2.6428395	-0.0115332	-0.2233065	-0.0554579
3.7636193	0.3643395	0.3421870	-0.4017445	-0.1909696	-0.2636417	2.6444125	-0.0165705	-0.2308773	-0.0547649
3.8635732	0.3800910	0.3614245	-0.3970719	-0.1895334	-0.2677346	2.6455438	-0.0273015	-0.2413592	-0.0532654
3.9635412	0.3921586	0.3829805	-0.4046196	-0.1887880	-0.2797906	2.6456746	-0.0397746	-0.2511303	-0.0570298
4.0635579	0.4089632	0.4039520	-0.4037927	-0.1888218	-0.2928320	2.6445622	-0.0457839	-0.2638570	-0.0481629
4.1635428	0.4261449	0.4258589	-0.4032006	-0.1893281	-0.3017306	2.6426420	-0.0445114	-0.2737736	-0.0424722
4.2637079	0.4420067	0.4474001	-0.3990067	-0.1900081	-0.3046639	2.6408471	-0.0343919	-0.2782344	-0.0366991
4.3635681	0.4596937	0.4710386	-0.4071483	-0.1910557	-0.3024730	2.6402162	-0.0249543	-0.2786288	-0.0419240
4.4635830	0.4751441	0.4949058	-0.4041776	-0.1924646	-0.2991704	2.6417692	-0.0154926	-0.2774232	-0.0403985
4.5637514	0.4893308	0.5179894	-0.4072083	-0.1938385	-0.2958734	2.6455587	-0.0075817	-0.2737294	-0.0494591
4.6636951	0.5030480	0.5425747	-0.4074737	-0.1949507	-0.2914921	2.6505005	-0.0008584	-0.2693733	-0.0585714
4.7635336	0.5165819	0.5669001	-0.4001498	-0.1960206	-0.2857737	2.6550983	0.0028842	-0.2674443	-0.0572673
4.8635661	0.5287540	0.5903942	-0.4013175	-0.1976039	-0.2832165	2.6580819	-0.0043244	-0.2683047	-0.0595490
4.9635369	0.5446081	0.6191213	-0.4042147	-0.1979978	-0.2860688	2.6586508	-0.0187428	-0.2682936	-0.0665349
5.0636273	0.5583475	0.6386052	-0.3972234	-0.1984621	-0.2974386	2.6577264	-0.0257278	-0.2736404	-0.0669009
5.1636216	0.5735389	0.6634868	-0.4024005	-0.1960299	-0.3091232	2.6559044	-0.0268942	-0.2807333	-0.0874764
5.2635343	0.5895730	0.6926321	-0.4031943	-0.1920348	-0.3164622	2.6537540	-0.0201784	-0.2888670	-0.1035530
5.3635433	0.6019903	0.7159056	-0.4067312	-0.1876526	-0.3205681	2.6516947	-0.0122357	-0.2985474	-0.0975975
5.4635809	0.6161981	0.7444867	-0.4084016	-0.1844557	-0.3170320	2.6491288	-0.0046522	-0.3103732	-0.0858673
