# Time	x	y	z	roll	pitch	yaw	vx	vy	vz	
0.2687324	0.0489010	-0.0474283	-0.3205784	-0.1822162	-0.2063664	2.3445656	-0.0396091	-0.0192002	-0.0101652
0.3687363	0.0520914	-0.0497176	-0.3188478	-0.1875757	-0.1972315	2.3379505	-0.0229898	0.0052087	-0.0038231
0.4687398	0.0528626	-0.0505525	-0.3268433	-0.1916576	-0.1897726	2.3344130	-0.0291430	0.0127863	-0.0203232
0.5687255	0.0552857	-0.0549599	-0.3217661	-0.1955169	-0.1842411	2.3300675	-0.0453955	0.0152413	-0.0267118
0.6687770	0.0592093	-0.0602956	-0.3198030	-0.1947310	-0.1897588	2.3233071	-0.0528489	0.0093953	-0.0431127
0.7687434	0.0628576	-0.0638438	-0.3182285	-0.1906101	-0.2010792	2.3168534	-0.0571778	-0.0028248	-0.0434378
0.8687235	0.0681350	-0.0668117	-0.3187863	-0.1836189	-0.2216298	2.3065812	-0.0615355	-0.0246890	-0.0301799
0.9688653	0.0749009	-0.0688201	-0.3152446	-0.1765820	-0.2464713	2.2927558	-0.0460257	-0.0432321	-0.0082109
1.0687268	0.0818634	-0.0682140	-0.3236017	-0.1739595	-0.2544869	2.2822476	-0.0295459	-0.0499639	0.0022217
1.1687473	0.0866467	-0.0670310	-0.3245096	-0.1750431	-0.2536441	2.2744272	-0.0124202	-0.0507344	0.0057773
1.2688003	0.0901946	-0.0642904	-0.3199833	-0.1783880	-0.2403488	2.2666640	0.0062124	-0.0502251	0.0056581
1.3687969	0.0937024	-0.0601511	-0.3174800	-0.1859747	-0.2230416	2.2586764	0.0171333	-0.0509478	0.0035490
1.4688776	0.0959136	-0.0566499	-0.3142577	-0.1911460	-0.1987984	2.2532714	0.0211722	-0.0446852	-0.0011235
1.5687652	0.0972491	-0.0516286	-0.3197311	-0.1974858	-0.1808187	2.2465488	0.0179303	-0.0343658	-0.0188526
1.6686843	0.0989419	-0.0469810	-0.3259301	-0.2016236	-0.1701586	2.2376926	0.0001669	-0.0292752	-0.0413579
1.7687708	0.1087283	-0.0516129	-0.3058019	-0.2010654	-0.1712306	2.2304323	-0.0208375	-0.0293198	-0.0409840
1.8687255	0.1114405	-0.0493668	-0.3169536	-0.1964503	-0.1857354	2.2188818	-0.0415923	-0.0292991	-0.0625699
1.9687491	0.1198091	-0.0510915	-0.3172027	-0.1871420	-0.2121862	2.2011613	-0.0534306	-0.0408250	-0.0644676
2.0687703	0.1250775	-0.0513197	-0.3174652	-0.1804475	-0.2308042	2.1881204	-0.0435088	-0.0512940	-0.0571535
2.1687352	0.1317503	-0.0488004	-0.3246373	-0.1740876	-0.2486040	2.1730160	-0.0116179	-0.0606016	-0.0512643
2.2687580	0.1373340	-0.0424245	-0.3259136	-0.1720315	-0.2564098	2.1595856	0.0263530	-0.0742126	-0.0382831
