%time,field.P_vel,field.I_vel,field.D_vel,field.P_pitch,field.I_pitch,field.D_pitch,field.P_yaw,field.I_yaw,field.D_yaw
1492805495855568761,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805495955616298,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805496055784595,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805496155788537,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805496255581766,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805496355572716,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805496455712716,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805496555669247,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805496655812791,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805496755731208,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805496855665425,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805496955598418,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805497055696263,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805497155605704,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805497255610698,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805497355707554,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805497455572074,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805497555546021,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805497655594656,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805497755539934,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805497856059004,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805497955830702,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805498055720013,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805498155520712,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805498255713627,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805498355635339,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805498455899314,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805498555665420,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805498655758514,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805498755616755,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805498855571463,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805498955817184,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805499055715183,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805499155689863,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805499255662508,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805499355734962,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805499455560761,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805499555578225,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805499655591719,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805499755565729,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805499855676112,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805499955597097,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805500055553954,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805500155616707,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805500255732706,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805500355746831,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805500455579107,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805500555684965,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805500655594603,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805500755701514,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805500855573825,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805500955560810,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805501055610793,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805501155691548,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805501255623761,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805501355604185,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805501455615454,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805501555791420,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805501655719087,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805501755582805,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805501855632870,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805501955600489,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805502055723891,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805502155668178,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805502255621645,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
1492805502355637882,105.0,44.0,17.5,10.0,0.0,50.0,20.0,0.0,50.0
