%time,field.data
1492808843556046194,0.0
1492808843655907015,0.0
1492808843755747284,0.0
1492808843855982888,0.0
1492808843957315739,0.0
1492808844055965245,0.0
1492808844155926555,0.0
1492808844255849614,0.0
1492808844355825589,0.0
1492808844455908685,0.0
1492808844556141990,0.0
1492808844655910334,0.0
1492808844755818275,0.0
1492808844855764877,0.0
1492808844955786603,0.0
1492808845055787684,0.0
1492808845156140497,0.0
1492808845255942155,0.0
1492808845355924651,0.0
1492808845455866902,0.0
1492808845555903085,0.0
1492808845655933624,0.0
1492808845756065992,0.0
1492808845855859811,0.0
1492808845955822496,0.0
1492808846056035214,0.0
1492808846155864803,0.0
1492808846255770753,0.0
1492808846356002640,0.0
1492808846455943011,0.0
1492808846555841005,0.0
1492808846655882363,0.0
1492808846755919939,0.0
1492808846855759162,0.0
1492808846955751034,0.0
1492808847056067866,0.0
1492808847156393273,0.0
1492808847255852376,0.0
1492808847356098393,0.0
1492808847455861954,0.0
1492808847555830801,0.0
1492808847655800620,0.0
1492808847756212473,0.0
1492808847855874991,0.0
1492808847955764515,0.0
1492808848056127153,0.0
1492808848156015267,0.0
1492808848256345181,4.6032037735
1492808848357158667,5.07085132599
1492808848456056475,5.44497966766
1492808848556026764,5.05456924438
1492808848656015965,3.51213407516
1492808848755825140,1.11887288094
1492808848855967519,-0.969582915306
1492808848956000316,-1.52686572075
1492808849055888580,-1.78811144829
1492808849156096384,-1.98249793053
1492808849255853693,-1.75971078873
1492808849355871793,-1.18046200275
1492808849456059375,-0.816718697548
1492808849555874440,-0.758123874664
1492808849655769829,-0.305146932602
1492808849756089595,0.71876502037
1492808849855786682,1.76371967793
1492808849956011634,2.55232954025
1492808850056039901,2.74416804314
1492808850155802464,2.76254940033
1492808850255867822,2.54333281517
1492808850355845786,2.4530134201
1492808850455833017,2.38812017441
1492808850556334382,2.05756306648
1492808850655788938,2.12364435196
1492808850755862996,2.712048769
1492808850855825255,3.40740203857
1492808850955810299,4.3681936264
1492808851055783201,5.40760660172
1492808851155773051,5.77931690216
1492808851255907320,5.30798959732
1492808851355880525,4.2737865448
1492808851456072498,3.07186722755
1492808851555823869,1.85248351097
1492808851655907830,1.48853611946
1492808851755746129,2.0597679615
1492808851855949849,3.5607407093
1492808851955769649,4.96647310257
1492808852055813650,5.72498321533
1492808852156081068,5.69992160797
1492808852255829118,5.36242485046
1492808852355912535,4.92932653427
1492808852455829840,4.39001131058
1492808852555858027,3.75121593475
1492808852656133040,3.30158114433
1492808852755984927,3.03547000885
1492808852855961982,3.53047251701
1492808852956128959,5.12976694107
1492808853055962223,6.97814035416
1492808853156040253,8.3646068573
1492808853256492640,8.8799200058
1492808853355822369,8.24307060242
1492808853455849835,6.44065141678
1492808853555775077,4.35143995285
1492808853655909331,3.3873231411
1492808853756277901,3.71883153915
1492808853855883346,4.91944026947
1492808853955929549,5.85386753082
1492808854056037436,5.78020143509
1492808854155970841,5.11944818497
1492808854255748341,4.63547468185
1492808854355881620,4.59281587601
1492808854455895555,5.1532626152
1492808854556134469,5.86378622055
1492808854655847697,6.4798283577
1492808854755794420,7.06416511536
1492808854855793359,7.38097143173
1492808854955832162,7.52698326111
1492808855055903743,7.65612840652
1492808855155827951,7.76959705353
1492808855255803664,8.02027988434
1492808855355875930,8.68582820892
1492808855456088429,8.97453403473
1492808855556082682,8.66213226318
1492808855655839842,7.89889860153
1492808855756120498,7.28862380981
1492808855855979919,7.57286167145
1492808855955843511,8.50758171082
1492808856056003877,9.47113990784
1492808856155826908,9.71898937225
1492808856255882855,10.0562753677
1492808856355892260,10.0714292526
1492808856455824240,10.0161733627
1492808856555754539,9.96198654175
1492808856655927972,9.86807918549
1492808856755830160,9.73456954956
1492808856855830121,9.98810577393
1492808856956224813,10.3828544617
1492808857055853398,10.8086061478
1492808857155927661,11.3362588882
1492808857255872326,11.9316082001
1492808857355750980,12.349691391
1492808857455836980,11.9540376663
1492808857555838171,11.3161430359
1492808857655842742,10.7270374298
1492808857755800821,10.6858644485
1492808857855866889,11.1267757416
1492808857955841802,12.0058708191
1492808858055991358,12.8028650284
1492808858156136279,13.4393920898
1492808858255902810,13.791258812
1492808858356026499,13.677942276
1492808858455908418,13.4821100235
1492808858555837836,13.1744146347
1492808858655903680,12.8513870239
1492808858755872535,12.6430501938
1492808858855799860,12.7311954498
1492808858955941729,13.0537567139
1492808859055802872,13.3764791489
1492808859155839845,13.7564268112
1492808859256035200,14.2217741013
1492808859355806361,14.7825403214
1492808859455759770,15.3164405823
1492808859555839786,15.5558052063
1492808859655830822,15.7079668045
1492808859755982560,15.7534170151
1492808859855886767,15.8606538773
1492808859955945442,16.3831577301
1492808860056048574,16.7904090881
1492808860155816007,16.9142723083
1492808860256011700,16.8858509064
1492808860355724446,16.5698242188
1492808860455957133,16.1539421082
1492808860555862109,15.3904867172
1492808860655983989,14.7279758453
1492808860755930359,15.0800561905
1492808860855787136,15.5146312714
1492808860955814110,15.9049777985
1492808861055897389,15.9019079208
1492808861155820741,15.5754919052
1492808861255869986,15.5733356476
1492808861355817665,15.829460144
1492808861455912852,16.5067234039
1492808861556202153,17.269947052
1492808861655919220,18.1154003143
1492808861755800817,18.3317222595
1492808861855916515,18.0321674347
1492808861955810895,17.8010005951
1492808862055898634,17.7100563049
1492808862156192616,18.0598621368
1492808862255774421,18.8553218842
1492808862356183029,19.5433521271
1492808862455856645,20.087770462
1492808862555899881,20.0530223846
1492808862656076706,19.7066650391
1492808862756107234,19.8117752075
1492808862855849001,20.8776741028
1492808862955765646,21.6166152954
1492808863056035225,21.6150970459
1492808863155896949,22.0759162903
1492808863255839916,22.2331771851
1492808863356047690,22.1707458496
1492808863455814386,22.6919059753
1492808863555819372,22.4353370667
1492808863655865600,22.2658157349
1492808863755769632,23.1954421997
1492808863855857753,24.1123504639
1492808863955956805,23.4378623962
1492808864055888160,22.8183898926
1492808864155946935,23.0198326111
1492808864255967792,23.7182025909
1492808864356160883,24.0419483185
1492808864456130860,24.0798835754
1492808864555815904,24.6112823486
1492808864655897549,25.3593387604
1492808864756384906,26.332736969
1492808864855861917,27.327495575
1492808864955953852,26.9724502563
1492808865055838599,25.3667049408
1492808865155952264,24.2777194977
1492808865256172300,26.0061073303
1492808865355821037,33.0855026245
1492808865455869906,35.0
1492808865556028783,35.0
1492808865655881830,35.0
1492808865755827666,35.0
1492808865855946315,35.0
1492808865955978573,35.0
1492808866055851340,35.0
1492808866156088532,35.0
1492808866255877942,35.0
1492808866355961865,35.0
1492808866456105727,35.0
1492808866555917920,35.0
1492808866655766426,35.0
1492808866755937030,35.0
1492808866855939767,35.0
1492808866955866710,35.0
1492808867056057233,35.0
1492808867155749906,35.0
1492808867255939201,35.0
1492808867355946739,35.0
1492808867456009973,35.0
1492808867555838671,35.0
1492808867655785832,35.0
1492808867755837044,35.0
1492808867856075934,35.0
1492808867955871494,35.0
1492808868055761302,35.0
1492808868156413074,35.0
1492808868255818497,35.0
1492808868356019496,35.0
1492808868455858607,35.0
1492808868555992642,35.0
1492808868655782138,35.0
1492808868755765955,35.0
1492808868855839135,35.0
1492808868956060140,35.0
1492808869056059487,35.0
1492808869155814894,35.0
1492808869255895008,35.0
1492808869356407512,35.0
1492808869455815547,35.0
1492808869555937388,35.0
1492808869656275539,35.0
1492808869755842255,35.0
1492808869855800478,35.0
1492808869955900688,35.0
1492808870055908996,35.0
1492808870156077490,35.0
1492808870256226393,35.0
1492808870355892684,35.0
1492808870455811633,35.0
1492808870556154662,35.0
1492808870655949860,35.0
1492808870755859095,35.0
1492808870855834866,35.0
1492808870955788199,35.0
1492808871056223408,35.0
1492808871156105057,35.0
1492808871255758503,35.0
1492808871355935754,35.0
1492808871455789803,35.0
1492808871555767684,35.0
1492808871655910448,35.0
1492808871755795193,35.0
1492808871855775232,35.0
1492808871955792640,35.0
1492808872055827108,35.0
1492808872155825560,35.0
1492808872255890378,35.0
1492808872355785091,35.0
1492808872456052488,35.0
1492808872555972376,35.0
1492808872655830995,35.0
1492808872755845389,35.0
1492808872855807208,35.0
1492808872955772016,35.0
1492808873055805493,35.0
1492808873156245488,35.0
1492808873255814742,35.0
1492808873356333423,35.0
1492808873455905216,35.0
1492808873555791358,35.0
1492808873655879477,35.0
1492808873756276775,35.0
1492808873855842947,35.0
1492808873955984619,35.0
1492808874055798333,35.0
1492808874155829122,35.0
1492808874255759137,35.0
1492808874355975989,35.0
1492808874455910418,35.0
1492808874556208433,35.0
1492808874655922984,35.0
1492808874755817258,35.0
1492808874856061679,35.0
1492808874955854747,35.0
1492808875056296358,35.0
1492808875155901962,35.0
1492808875255887293,35.0
1492808875356081928,35.0
1492808875455916554,35.0
1492808875555858459,35.0
1492808875655874116,35.0
1492808875755829313,35.0
1492808875856038672,35.0
1492808875955811586,35.0
