%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1492810507368902503,9783,1492810507368792055,/temperature,15.6004133224,0.0
1492810507442806662,9784,1492810507442792055,/temperature,15.6004133224,0.0
1492810507516514784,9785,1492810507517792055,/temperature,15.6004133224,0.0
1492810507590614956,9786,1492810507591792055,/temperature,15.6004133224,0.0
1492810507665757406,9787,1492810507665792055,/temperature,15.6091451645,0.0
1492810507739930294,9788,1492810507739792055,/temperature,15.6178760529,0.0
1492810507813569100,9789,1492810507814792055,/temperature,15.6004133224,0.0
1492810507888247446,9790,1492810507888792055,/temperature,15.6178760529,0.0
1492810507962624041,9791,1492810507962792055,/temperature,15.6091451645,0.0
1492810508036975677,9792,1492810508037792055,/temperature,15.6091451645,0.0
1492810508111333085,9793,1492810508111792055,/temperature,15.6004133224,0.0
1492810508185114860,9794,1492810508185792055,/temperature,15.5916824341,0.0
1492810508260416530,9795,1492810508259792055,/temperature,15.6091451645,0.0
1492810508333539088,9796,1492810508333792055,/temperature,15.6091451645,0.0
1492810508408298547,9797,1492810508408792055,/temperature,15.5916824341,0.0
1492810508483263596,9798,1492810508482792055,/temperature,15.6004133224,0.0
1492810508557259862,9799,1492810508556792055,/temperature,15.6004133224,0.0
1492810508631243267,9800,1492810508631792055,/temperature,15.6004133224,0.0
1492810508704536688,9801,1492810508705792055,/temperature,15.6091451645,0.0
1492810508780336025,9802,1492810508779792055,/temperature,15.6091451645,0.0
1492810508853806188,9803,1492810508853792055,/temperature,15.6004133224,0.0
1492810508928122266,9804,1492810508928792055,/temperature,15.6004133224,0.0
1492810509001583002,9805,1492810509002792055,/temperature,15.5916824341,0.0
1492810509076421687,9806,1492810509076792055,/temperature,15.5916824341,0.0
1492810509150894047,9807,1492810509151792055,/temperature,15.6004133224,0.0
1492810509224703011,9808,1492810509225792055,/temperature,15.582950592,0.0
1492810509300596244,9809,1492810509299792055,/temperature,15.6004133224,0.0
1492810509373815072,9810,1492810509373792055,/temperature,15.5916824341,0.0
1492810509447981658,9811,1492810509448792055,/temperature,15.5916824341,0.0
1492810509521989843,9812,1492810509522792055,/temperature,15.6004133224,0.0
1492810509597404523,9813,1492810509596792055,/temperature,15.6091451645,0.0
1492810509670752194,9814,1492810509670792055,/temperature,15.5916824341,0.0
1492810509744876577,9815,1492810509745792055,/temperature,15.5916824341,0.0
1492810509819001431,9816,1492810509819792055,/temperature,15.6004133224,0.0
1492810509893437462,9817,1492810509893929002,/temperature,15.6004133224,0.0
1492810509967487412,9818,1492810509967929002,/temperature,15.5916824341,0.0
1492810510042283781,9819,1492810510042929002,/temperature,15.6004133224,0.0
1492810510117186477,9820,1492810510116929002,/temperature,15.5742177963,0.0
1492810510191290700,9821,1492810510190929002,/temperature,15.5916824341,0.0
1492810510265238435,9822,1492810510265929002,/temperature,15.6091451645,0.0
1492810510338582046,9823,1492810510339929002,/temperature,15.6004133224,0.0
1492810510414191072,9824,1492810510413929002,/temperature,15.6091451645,0.0
1492810510488286298,9825,1492810510487929002,/temperature,15.582950592,0.0
1492810510561558450,9826,1492810510562929002,/temperature,15.6091451645,0.0
1492810510636481664,9827,1492810510636929002,/temperature,15.6004133224,0.0
1492810510710578505,9828,1492810510710929002,/temperature,15.6004133224,0.0
1492810510784611942,9829,1492810510784929002,/temperature,15.6004133224,0.0
1492810510858600860,9830,1492810510859929002,/temperature,15.5916824341,0.0
1492810510932708943,9831,1492810510933929002,/temperature,15.5916824341,0.0
1492810511008216303,9832,1492810511007929002,/temperature,15.5916824341,0.0
1492810511082276829,9833,1492810511081929002,/temperature,15.6004133224,0.0
1492810511156704366,9834,1492810511156929002,/temperature,15.6091451645,0.0
1492810511230517500,9835,1492810511230929002,/temperature,15.5742177963,0.0
1492810511305048976,9836,1492810511304929002,/temperature,15.5742177963,0.0
1492810511378636563,9837,1492810511379929002,/temperature,15.582950592,0.0
1492810511452981482,9838,1492810511453929002,/temperature,15.5916824341,0.0
1492810511527929621,9839,1492810511527929002,/temperature,15.582950592,0.0
1492810511602036322,9840,1492810511601929002,/temperature,15.5742177963,0.0
1492810511675603896,9841,1492810511676929002,/temperature,15.5742177963,0.0
1492810511751074467,9842,1492810511750929002,/temperature,15.582950592,0.0
1492810511824936024,9843,1492810511824929002,/temperature,15.5916824341,0.0
1492810511898608875,9844,1492810511898929002,/temperature,15.582950592,0.0
1492810511972659191,9845,1492810511973929002,/temperature,15.5742177963,0.0
1492810512047425322,9846,1492810512047929002,/temperature,15.5742177963,0.0
1492810512121874673,9847,1492810512121929002,/temperature,15.5567541122,0.0
1492810512195776631,9848,1492810512195929002,/temperature,15.5742177963,0.0
1492810512270868027,9849,1492810512270929002,/temperature,15.5742177963,0.0
1492810512345037175,9850,1492810512344929002,/temperature,15.5654859543,0.0
1492810512418962486,9851,1492810512419920919,/temperature,15.5567541122,0.0
1492810512492955397,9852,1492810512494920919,/temperature,15.5567541122,0.0
1492810512567565342,9853,1492810512568920919,/temperature,15.5480213165,0.0
1492810512641696042,9854,1492810512642920919,/temperature,15.5654859543,0.0
1492810512715958502,9855,1492810512716920919,/temperature,15.5392885208,0.0
1492810512790320550,9856,1492810512791920919,/temperature,15.5654859543,0.0
1492810512864451770,9857,1492810512865920919,/temperature,15.5567541122,0.0
1492810512939188424,9858,1492810512939920919,/temperature,15.5654859543,0.0
1492810513012886569,9859,1492810513013920919,/temperature,15.5392885208,0.0
1492810513087218115,9860,1492810513088920919,/temperature,15.5480213165,0.0
1492810513161708404,9861,1492810513162920919,/temperature,15.5567541122,0.0
1492810513236406710,9862,1492810513236920919,/temperature,15.5654859543,0.0
1492810513309694532,9863,1492810513311920919,/temperature,15.5218229294,0.0
1492810513383676517,9864,1492810513385920919,/temperature,15.5305557251,0.0
