%time,field.P_vel,field.I_vel,field.D_vel,field.P_pitch,field.I_pitch,field.D_pitch,field.P_yaw,field.I_yaw,field.D_yaw
1492810508655590046,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810508755664620,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810508855643565,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810508955648922,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810509055647769,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810509155642244,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810509255959983,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810509355655455,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810509455671561,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810509555541610,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810509655699577,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810509755642571,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810509855611955,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810509955547765,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810510055543751,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810510155691718,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810510255718778,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810510355709325,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810510455775112,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810510555760346,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810510655579538,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810510755611863,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810510855556129,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810510955651180,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810511055678487,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810511155638645,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810511255838787,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
