# Time	Velocity	Pitch	Yaw
-4.5777126	0.0000000	0.0000000	0.0000000
-4.4777006	0.0000000	0.0000000	0.0000000
-4.3776540	0.0000000	0.0000000	0.0000000
-4.2777303	0.0000000	0.0000000	0.0000000
-4.1776660	0.0000000	0.0000000	0.0000000
-4.0777505	0.0000000	0.0000000	0.0000000
-3.9777966	0.0000000	0.0000000	0.0000000
-3.8776527	0.0000000	0.0000000	0.0000000
-3.7776481	0.0000000	0.0000000	0.0000000
-3.6776451	0.0000000	0.0000000	0.0000000
-3.5776786	0.0000000	0.0000000	0.0000000
-3.4777011	0.0000000	0.0000000	0.0000000
-3.3776589	0.0000000	0.0000000	0.0000000
-3.2776771	0.0000000	0.0000000	0.0000000
-3.1776684	0.0000000	0.0000000	0.0000000
-3.0776023	0.0000000	0.0000000	0.0000000
-2.9776005	0.0000000	0.0000000	0.0000000
-2.8776515	0.0000000	0.0000000	0.0000000
-2.7776753	0.0000000	0.0000000	0.0000000
-2.6778207	0.0000000	0.0000000	0.0000000
-2.5776571	0.0000000	0.0000000	0.0000000
-2.4776310	0.0000000	0.0000000	0.0000000
-2.3776507	0.0000000	0.0000000	0.0000000
-2.2775432	0.0000000	0.0000000	0.0000000
-2.1776852	0.0000000	0.0000000	0.0000000
-2.0777618	0.0000000	0.0000000	0.0000000
-1.9776868	0.0000000	0.0000000	0.0000000
-1.8777219	0.0000000	0.0000000	0.0000000
-1.7776530	0.0000000	0.0000000	0.0000000
-1.6777242	0.0000000	0.0000000	0.0000000
-1.5777457	0.0000000	0.0000000	0.0000000
-1.4776617	0.0000000	0.0000000	0.0000000
-1.3776876	0.0000000	0.0000000	0.0000000
-1.2777290	0.0000000	0.0000000	0.0000000
-1.1776858	0.0000000	0.0000000	0.0000000
-1.0776399	0.0000000	0.0000000	0.0000000
-0.9776876	0.0000000	0.0000000	0.0000000
-0.8777050	0.0000000	0.0000000	0.0000000
-0.7776645	0.0000000	0.0000000	0.0000000
-0.6776586	0.0000000	0.0000000	0.0000000
-0.5776863	0.0000000	0.0000000	0.0000000
-0.4777021	0.0000000	0.0000000	0.0000000
-0.3776420	0.0000000	0.0000000	0.0000000
-0.2777098	0.0000000	0.0000000	0.0000000
-0.1776776	0.0000000	0.0000000	0.0000000
-0.0776184	0.0023554	0.0000000	1.5700001
0.0224748	0.0057099	0.0000000	1.5700001
0.1224676	0.0090774	0.0000000	1.5700001
0.2223977	0.0124567	0.0000000	1.5700001
0.3224151	0.0158532	0.0000000	1.5700001
0.4223516	0.0192572	0.0000000	1.5700001
0.5224182	0.0226777	0.0000000	1.5700001
0.6224742	0.0261041	0.0000000	1.5700001
0.7223532	0.0295386	0.0000000	1.5700001
0.8223631	0.0329841	0.0000000	1.5700001
0.9223928	0.0364355	0.0000000	1.5700001
1.0223496	0.0398915	0.0000000	1.5700001
1.1224353	0.0433538	0.0000000	1.5700001
1.2224428	0.0468193	0.0000000	1.5700001
1.3224581	0.0502911	0.0000000	1.5700001
1.4224269	0.0537613	0.0000000	1.5700001
1.5223683	0.0572299	0.0000000	1.5700001
1.6224525	0.0607062	0.0000000	1.5700001
1.7224942	0.0641762	0.0000000	1.5700001
1.8223583	0.0676429	0.0000000	1.5700001
1.9223859	0.0711113	0.0000000	1.5700001
2.0224438	0.0745726	0.0000000	1.5700001
2.1224340	0.0780303	0.0000000	1.5700001
2.2223923	0.0814821	0.0000000	1.5700001
2.3224138	0.0849256	0.0000000	1.5700001
2.4224113	0.0883597	0.0000000	1.5700001
2.5223992	0.0917859	0.0000000	1.5700001
2.6224061	0.0952035	0.0000000	1.5700001
2.7225290	0.0986122	0.0000000	1.5700001
2.8223898	0.1020043	0.0000000	1.5700001
2.9223926	0.1053839	0.0000000	1.5700001
3.0224131	0.1087493	0.0000000	1.5700001
3.1224517	0.1121013	0.0000000	1.5700001
3.2224261	0.1154367	0.0000000	1.5700001
3.3224563	0.1187553	0.0000000	1.5700001
3.4224128	0.1220561	0.0000000	1.5700001
3.5224005	0.1253366	0.0000000	1.5700001
3.6224261	0.1285981	0.0000000	1.5700001
3.7223365	0.1318370	0.0000000	1.5700001
3.8224481	0.1350576	0.0000000	1.5700001
3.9223869	0.1382518	0.0000000	1.5700001
4.0223951	0.1414234	0.0000000	1.5700001
4.1224502	0.1445691	0.0000000	1.5700001
4.2224279	0.1476883	0.0000000	1.5700001
4.3224584	0.1507838	0.0000000	1.5700001
4.4224251	0.1538471	0.0000000	1.5700001
4.5224732	0.1568834	0.0000000	1.5700001
4.6224335	0.1598871	0.0000000	1.5700001
4.7224612	0.1628648	0.0000000	1.5700001
4.8223798	0.1658052	0.0000000	1.5700001
4.9223921	0.1687137	0.0000000	1.5700001
5.0223368	0.1715902	0.0000000	1.5700001
5.1224768	0.1744312	0.0000000	1.5700001
5.2223892	0.1772361	0.0000000	1.5700001
5.3224325	0.1800061	0.0000000	1.5700001
5.4224000	0.1827328	0.0000000	1.5700001
5.5224202	0.1854242	0.0000000	1.5700001
5.6223542	0.1880744	0.0000000	1.5700001
5.7224343	0.1906833	0.0000000	1.5700001
5.8223910	0.1932513	0.0000000	1.5700001
5.9224069	0.1957762	0.0000000	1.5700001
6.0224399	0.1982554	0.0000000	1.5700001
6.1223782	0.2006910	0.0000000	1.5700001
6.2223365	0.2030796	0.0000000	1.5700001
6.3224184	0.2054217	0.0000000	1.5700001
6.4224376	0.2077188	0.0000000	1.5700001
6.5224617	0.2099634	0.0000000	1.5700001
6.6223555	0.2121574	0.0000000	1.5700001
6.7224799	0.2143025	0.0000000	1.5700001
6.8224371	0.2163940	0.0000000	1.5700001
6.9223137	0.2184314	0.0000000	1.5700001
7.0224732	0.2204181	0.0000000	1.5700001
7.1224402	0.2223484	0.0000000	1.5700001
7.2224289	0.2242207	0.0000000	1.5700001
7.3224535	0.2260394	0.0000000	1.5700001
7.4223665	0.2277962	0.0000000	1.5700001
7.5223980	0.2294973	0.0000000	1.5700001
7.6224561	0.2311367	0.0000000	1.5700001
7.7224435	0.2327147	0.0000000	1.5700001
7.8223142	0.2342312	0.0000000	1.5700001
7.9224297	0.2356861	0.0000000	1.5700001
8.0223846	0.2370750	0.0000000	1.5700001
8.1224392	0.2384005	0.0000000	1.5700001
8.2223690	0.2396576	0.0000000	1.5700001
8.3224374	0.2408496	0.0000000	1.5700001
8.4224223	0.2419729	0.0000000	1.5700001
8.5224125	0.2430277	0.0000000	1.5700001
8.6224614	0.2440125	0.0000000	1.5700001
8.7223068	0.2449247	0.0000000	1.5700001
8.8223542	0.2457656	0.0000000	1.5700001
8.9224138	0.2465344	0.0000000	1.5700001
9.0224223	0.2472282	0.0000000	1.5700001
9.1224023	0.2478473	0.0000000	1.5700001
9.2225428	0.2483907	0.0000000	1.5700001
9.3224369	0.2488568	0.0000000	1.5700001
9.4224566	0.2492446	0.0000000	1.5700001
9.5223908	0.2495536	0.0000000	1.5700001
9.6224929	0.2497829	0.0000000	1.5700001
9.7224223	0.2499305	0.0000000	1.5700001
9.8224581	0.2499964	0.0000000	1.5700001
9.9224404	0.2500000	0.0000000	1.5698832
10.0224172	0.2500000	0.0000000	1.5693231
10.1224502	0.2500000	0.0000000	1.5683074
10.2224392	0.2500000	0.0000000	1.5668468
10.3224947	0.2500000	0.0000000	1.5649480
10.4224223	0.2500000	0.0000000	1.5626267
10.5224051	0.2500000	0.0000000	1.5598843
10.6224197	0.2500000	0.0000000	1.5567362
10.7224061	0.2500000	0.0000000	1.5531904
10.8223429	0.2500000	0.0000000	1.5492541
10.9223670	0.2500000	0.0000000	1.5449392
11.0224932	0.2500000	0.0000000	1.5402492
11.1224317	0.2500000	0.0000000	1.5352045
11.2224709	0.2500000	0.0000000	1.5298095
11.3224090	0.2500000	0.0000000	1.5240647
11.4224092	0.2500000	0.0000000	1.5179896
11.5223788	0.2500000	0.0000000	1.5115998
11.6224717	0.2500000	0.0000000	1.5048873
11.7224074	0.2500000	0.0000000	1.4978762
11.8223905	0.2500000	0.0000000	1.4905667
11.9224353	0.2500000	0.0000000	1.4829736
12.0224545	0.2500000	0.0000000	1.4751010
12.1223992	0.2500000	0.0000000	1.4669713
12.2224397	0.2500000	0.0000000	1.4585742
12.3224707	0.2500000	0.0000000	1.4499335
12.4224215	0.2500000	0.0000000	1.4410492
12.5224847	0.2500000	0.0000000	1.4319489
12.6224166	0.2500000	0.0000000	1.4226186
12.7224558	0.2500000	0.0000000	1.4130808
12.8223662	0.2500000	0.0000000	1.4033493
12.9223967	0.2500000	0.0000000	1.3934189
13.0223749	0.2500000	0.0000000	1.3833066
13.1224061	0.2500000	0.0000000	1.3730197
13.2224187	0.2500000	0.0000000	1.3625761
13.3224102	0.2500000	0.0000000	1.3519838
13.4223286	0.2500000	0.0000000	1.3412386
13.5223537	0.2500000	0.0000000	1.3303597
13.6223910	0.2500000	0.0000000	1.3193519
13.7224300	0.2500000	0.0000000	1.3082309
13.8223862	0.2500000	0.0000000	1.2970052
13.9223206	0.2500000	0.0000000	1.2856904
14.0224128	0.2500000	0.0000000	1.2742664
14.1223657	0.2500000	0.0000000	1.2627858
14.2224038	0.2500000	0.0000000	1.2512251
14.3224241	0.2500000	0.0000000	1.2396034
14.4223916	0.2500000	0.0000000	1.2279383
14.5225219	0.2500000	0.0000000	1.2162248
14.6223677	0.2500000	0.0000000	1.2045074
14.7224044	0.2500000	0.0000000	1.1927383
14.8223506	0.2500000	0.0000000	1.1809736
14.9224468	0.2500000	0.0000000	1.1691977
15.0224338	0.2500000	0.0000000	1.1574308
15.1224420	0.2500000	0.0000000	1.1456790
15.2224179	0.2500000	0.0000000	1.1339437
15.3224422	0.2500000	0.0000000	1.1222541
15.4225516	0.2500000	0.0000000	1.1105982
15.5224699	0.2500000	0.0000000	1.0990137
15.6224468	0.2500000	0.0000000	1.0874871
15.7223818	0.2500000	0.0000000	1.0760369
15.8224276	0.2500000	0.0000000	1.0646474
15.9223357	0.2500000	0.0000000	1.0533751
16.0224612	0.2500000	0.0000000	1.0421792
16.1224637	0.2500000	0.0000000	1.0311071
16.2224207	0.2500000	0.0000000	1.0201652
16.3223844	0.2500000	0.0000000	1.0093367
16.4224507	0.2500000	0.0000000	0.9986494
16.5225137	0.2500000	0.0000000	0.9881017
16.6224013	0.2500000	0.0000000	0.9777381
16.7224681	0.2500000	0.0000000	0.9675153
16.8224548	0.2500000	0.0000000	0.9574770
16.9224573	0.2500000	0.0000000	0.9476334
17.0224192	0.2500000	0.0000000	0.9379744
17.1224179	0.2500000	0.0000000	0.9285260
17.2223514	0.2500000	0.0000000	0.9192892
17.3223565	0.2500000	0.0000000	0.9102693
17.4224069	0.2500000	0.0000000	0.9014867
17.5225833	0.2500000	0.0000000	0.8929439
17.6224200	0.2500000	0.0000000	0.8846596
17.7224105	0.2500000	0.0000000	0.8766310
17.8224069	0.2500000	0.0000000	0.8688760
17.9224451	0.2500000	0.0000000	0.8613974
