# Time	x	y	z	roll	pitch	yaw	vx	vy	vz	
0.3104141	0.0346669	-0.0108759	-0.4106766	-0.1917242	-0.2437958	2.5513465	-0.0400387	-0.0110817	0.0006551
0.4104364	0.0377834	-0.0116940	-0.4146403	-0.1933948	-0.2348203	2.5507360	-0.0426768	-0.0112233	0.0048186
0.5106043	0.0437377	-0.0151517	-0.4030733	-0.1955868	-0.2261628	2.5496368	-0.0420666	-0.0119144	0.0181319
0.6105521	0.0458917	-0.0148493	-0.4153903	-0.1962087	-0.2246027	2.5482916	-0.0349543	-0.0105455	0.0075958
0.7104614	0.0488627	-0.0161925	-0.4111003	-0.1959055	-0.2253205	2.5467892	-0.0220761	-0.0109682	0.0092961
0.8105777	0.0521653	-0.0173242	-0.4009274	-0.1947788	-0.2309144	2.5446943	0.0012338	-0.0161792	0.0119497
0.9105774	0.0520214	-0.0145214	-0.4047552	-0.1937357	-0.2386836	2.5440024	0.0201071	-0.0258605	0.0018415
1.0104699	0.0517685	-0.0108548	-0.4078579	-0.1926043	-0.2486037	2.5442258	0.0269770	-0.0381218	-0.0046549
1.1104310	0.0528832	-0.0066623	-0.3960522	-0.1907577	-0.2677832	2.5451215	0.0262480	-0.0595149	-0.0013185
1.2103995	0.0567604	0.0014564	-0.3999619	-0.1887577	-0.2969436	2.5457178	0.0047025	-0.0818984	-0.0161384
1.3104343	0.0625002	0.0088322	-0.4019108	-0.1868241	-0.3194933	2.5453586	-0.0195388	-0.0947486	-0.0293740
1.4105590	0.0674878	0.0149262	-0.4002759	-0.1852002	-0.3310192	2.5441652	-0.0367973	-0.0991311	-0.0405642
1.5105935	0.0772481	0.0233177	-0.4046357	-0.1824276	-0.3290541	2.5410543	-0.0521981	-0.1005562	-0.0622066
1.6104312	0.0851250	0.0313701	-0.4072759	-0.1802876	-0.3098497	2.5380841	-0.0511530	-0.1049357	-0.0745047
1.7105257	0.0918915	0.0381761	-0.4097980	-0.1790928	-0.2863179	2.5358138	-0.0424358	-0.1141071	-0.0742216
1.8104179	0.1012112	0.0485664	-0.4006797	-0.1794374	-0.2515666	2.5337207	-0.0230212	-0.1388685	-0.0457063
1.9104492	0.1110493	0.0625786	-0.4144267	-0.1819364	-0.2332459	2.5335761	-0.0125741	-0.1638553	-0.0305578
2.0105247	0.1225437	0.0704551	-0.4039977	-0.1848333	-0.2292847	2.5344119	-0.0088741	-0.1822501	-0.0083823
2.1104218	0.1348414	0.0889210	-0.4068328	-0.1891537	-0.2355011	2.5362627	-0.0128833	-0.1925932	-0.0018125
2.2105892	0.1473361	0.1039786	-0.4060581	-0.1925159	-0.2454840	2.5369915	-0.0220687	-0.1956037	0.0034362
2.3105073	0.1592621	0.1196785	-0.4135964	-0.1957151	-0.2551596	2.5359693	-0.0316236	-0.1930296	-0.0032425
