# Time	Velocity	Pitch	Yaw
-4.6777254	0.0000000	0.0000000	0.0000000
-4.5777249	0.0000000	0.0000000	0.0000000
-4.4777390	0.0000000	0.0000000	0.0000000
-4.3777428	0.0000000	0.0000000	0.0000000
-4.2775142	0.0000000	0.0000000	0.0000000
-4.1775388	0.0000000	0.0000000	0.0000000
-4.0777344	0.0000000	0.0000000	0.0000000
-3.9777620	0.0000000	0.0000000	0.0000000
-3.8777759	0.0000000	0.0000000	0.0000000
-3.7777533	0.0000000	0.0000000	0.0000000
-3.6777111	0.0000000	0.0000000	0.0000000
-3.5777272	0.0000000	0.0000000	0.0000000
-3.4777562	0.0000000	0.0000000	0.0000000
-3.3777137	0.0000000	0.0000000	0.0000000
-3.2777644	0.0000000	0.0000000	0.0000000
-3.1777050	0.0000000	0.0000000	0.0000000
-3.0777114	0.0000000	0.0000000	0.0000000
-2.9776714	0.0000000	0.0000000	0.0000000
-2.8777531	0.0000000	0.0000000	0.0000000
-2.7777503	0.0000000	0.0000000	0.0000000
-2.6777121	0.0000000	0.0000000	0.0000000
-2.5777692	0.0000000	0.0000000	0.0000000
-2.4777431	0.0000000	0.0000000	0.0000000
-2.3777756	0.0000000	0.0000000	0.0000000
-2.2776440	0.0000000	0.0000000	0.0000000
-2.1775977	0.0000000	0.0000000	0.0000000
-2.0777080	0.0000000	0.0000000	0.0000000
-1.9776128	0.0000000	0.0000000	0.0000000
-1.8777357	0.0000000	0.0000000	0.0000000
-1.7774533	0.0000000	0.0000000	0.0000000
-1.6777065	0.0000000	0.0000000	0.0000000
-1.5777193	0.0000000	0.0000000	0.0000000
-1.4777454	0.0000000	0.0000000	0.0000000
-1.3777431	0.0000000	0.0000000	0.0000000
-1.2777964	0.0000000	0.0000000	0.0000000
-1.1777539	0.0000000	0.0000000	0.0000000
-1.0777533	0.0000000	0.0000000	0.0000000
-0.9777208	0.0000000	0.0000000	0.0000000
-0.8777861	0.0000000	0.0000000	0.0000000
-0.7775304	0.0000000	0.0000000	0.0000000
-0.6776643	0.0000000	0.0000000	0.0000000
-0.5776942	0.0000000	0.0000000	0.0000000
-0.4775877	0.0000000	0.0000000	0.0000000
-0.3776891	0.0000000	0.0000000	0.0000000
-0.2776343	0.0000000	0.0000000	0.0000000
-0.1777679	0.0000000	0.0000000	0.0000000
-0.0776696	0.0055077	0.0000000	0.0000000
0.0223268	0.0147635	0.0000000	0.0000000
0.1222912	0.0240421	0.0000000	0.0000000
0.2224018	0.0333463	0.0000000	0.0000000
0.3223460	0.0426343	0.0000000	0.0000000
0.4223365	0.0519386	0.0000000	0.0000000
0.5223196	0.0612390	0.0000000	0.0000000
0.6224266	0.0705332	0.0000000	0.0000000
0.7224192	0.0798156	0.0000000	0.0000000
0.8223895	0.0890751	0.0000000	0.0000000
0.9223631	0.0983210	0.0000000	0.0000000
1.0223378	0.1075417	0.0000000	0.0000000
1.1222889	0.1167407	0.0000000	0.0000000
1.2223462	0.1258993	0.0000000	0.0000000
1.3223222	0.1350256	0.0000000	0.0000000
1.4225631	0.1441244	0.0000000	0.0000000
1.5223680	0.1531537	0.0000000	0.0000000
1.6222938	0.1621363	0.0000000	0.0000000
1.7226442	0.1710775	0.0000000	0.0000000
1.8223526	0.1799444	0.0000000	0.0000000
1.9223621	0.1887517	0.0000000	0.0000000
2.0223491	0.1974881	0.0000000	0.0000000
2.1223877	0.2061502	0.0000000	0.0000000
2.2223698	0.2147408	0.0000000	0.0000000
2.3223462	0.2232527	0.0000000	0.0000000
