%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.header.frame_id,field.transforms0.child_frame_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w
1492807363725670453,0,1492807363723579884,odom,robot_frame,-1.35957356556e-11,-3.25256309378e-11,-0.22360226064,-0.10114308724,0.0888574919241,-0.989390600205,0.0545954417453
1492807363825607968,0,1492807363822394133,odom,robot_frame,-2.787145837e-05,3.91735897241e-05,-0.225641230866,-0.112372939902,0.0852980055727,-0.988660558215,0.0514477720854
1492807363925568477,0,1492807363923934937,odom,robot_frame,-0.000299004986535,0.000418132910359,-0.224440074496,-0.121742666752,0.0824333674282,-0.987911556399,0.0491347103332
1492807364025722867,0,1492807364020164013,odom,robot_frame,-0.00101877443322,0.00134749289991,-0.231764934315,-0.126762025946,0.0812542209121,-0.987442284635,0.0478212805804
1492807364125581744,0,1492807364122339964,odom,robot_frame,-0.00248242565553,0.00295037135218,-0.231732084854,-0.131736781232,0.0807486810665,-0.986860952881,0.0472284940954
1492807364225575168,0,1492807364223984003,odom,robot_frame,-0.00488582678442,0.00487495354515,-0.226556096299,-0.129808479904,0.0824775039795,-0.986939053742,0.0479429252355
1492807364325532769,0,1492807364316732883,odom,robot_frame,-0.00803375670678,0.00659711324098,-0.230745323172,-0.125600244201,0.0841968547113,-0.987289218067,0.0489435205296
1492807364425548834,0,1492807364422320843,odom,robot_frame,-0.0124672604743,0.00816857124029,-0.229794692375,-0.112257511348,0.0881803997748,-0.98848234722,0.0502505470161
1492807364525549382,0,1492807364523931265,odom,robot_frame,-0.0169112561136,0.00933083938436,-0.223787833675,-0.100042458397,0.0904649301064,-0.989584372388,0.0503028116857
1492807364625579504,0,1492807364613879919,odom,robot_frame,-0.0207529653707,0.0104459420969,-0.227684896227,-0.0922247828802,0.0913527222376,-0.990317212006,0.0492045645036
1492807364725551191,0,1492807364701670408,odom,robot_frame,-0.0239271964812,0.0116621696979,-0.224375145158,-0.0847578870198,0.0917014536384,-0.991024873449,0.0477141928034
1492807364825585950,0,1492807364823453665,odom,robot_frame,-0.0280113686107,0.0137268600234,-0.222085308365,-0.084477317865,0.0907002346867,-0.991245758093,0.0454851322519
1492807364925595752,0,1492807364924931288,odom,robot_frame,-0.0320020776212,0.0158071620868,-0.228772304267,-0.091198080267,0.089016734367,-0.990851505004,0.0444097533119
1492807365025582616,0,1492807365006077528,odom,robot_frame,-0.0352663192183,0.0174031593375,-0.225756980901,-0.100094615725,0.0873098614026,-0.990152896578,0.0442187449288
1492807365125598589,0,1492807365122895241,odom,robot_frame,-0.0405028798868,0.0199815152287,-0.230300128766,-0.115584892755,0.0847925272269,-0.988676352009,0.0443782702734
1492807365225541966,0,1492807365224298477,odom,robot_frame,-0.0446235957518,0.0221268324809,-0.229858791876,-0.126446998203,0.0832463140811,-0.987481009214,0.044299709705
1492807365325578635,0,1492807365305434465,odom,robot_frame,-0.0475617977917,0.0238817496262,-0.228790004478,-0.132072687142,0.0826413518966,-0.986811898502,0.0439259518206
1492807365425570905,0,1492807365422098875,odom,robot_frame,-0.0512536431849,0.0267836987612,-0.225097891853,-0.133548837444,0.0829091197832,-0.986633755246,0.0429490265731
1492807365525572556,0,1492807365523574591,odom,robot_frame,-0.0543460749565,0.0303006880698,-0.228284988058,-0.128722893328,0.0841255313709,-0.987210302327,0.0420610352208
1492807365625568378,0,1492807365625076771,odom,robot_frame,-0.0580099427665,0.0345654674642,-0.233563878435,-0.119629945698,0.0858292113999,-0.988229957293,0.0415159496042
1492807365725592770,0,1492807365721459389,odom,robot_frame,-0.0624192098977,0.0383338905177,-0.224147277054,-0.108147610233,0.0876267979122,-0.98939078857,0.0416113708184
1492807365825585281,0,1492807365823108435,odom,robot_frame,-0.0696678768073,0.043004530971,-0.232226825106,-0.0966977321818,0.0892532494768,-0.990408212668,0.0421304916665
1492807365925546958,0,1492807365924672604,odom,robot_frame,-0.0779673616445,0.0471607337263,-0.233110770173,-0.0876567935132,0.09055356052,-0.991107512733,0.0426876730692
1492807366025793381,0,1492807366005943060,odom,robot_frame,-0.0841584248465,0.0499851072034,-0.225177054573,-0.0831674111742,0.0913301747493,-0.991415087774,0.0428731225023
1492807366125771542,0,1492807366122709513,odom,robot_frame,-0.0937287606557,0.0543458866254,-0.225881587794,-0.0831012333385,0.091769702568,-0.991393858861,0.04255259476
