%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1492807363446277108,247166,1492807363446141709,robot_frame,0.0877393023156,-0.0917157830571,0.990184234749,-0.0585262096603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00436639133841,0.0132566541433,0.00411737896502,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,-0.195360869169,0.027422895655,0.016699001193,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
1492807363466567714,247167,1492807363466430787,robot_frame,0.0877456278002,-0.0917679363247,0.990179261421,-0.058517948878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00455558067188,-0.00832596793771,-0.00392673630267,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,-0.176960706711,0.012323345989,-0.0156735852361,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
1492807363486884840,247168,1492807363486736501,robot_frame,0.0879630459403,-0.091774950153,0.990163329912,-0.0584517783258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00132035010029,-0.0298795551062,-0.0120477247983,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,-0.187692150474,0.0240737982094,-0.0378933250904,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
1492807363502114238,247169,1492807363502023994,robot_frame,0.0883904568017,-0.0917436775207,0.990134796495,-0.0583377711006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000615604920313,-0.0495315566659,-0.0201705172658,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,-0.154842436314,0.0255042538047,-0.0440622121096,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
1492807363522462464,247170,1492807363522318269,robot_frame,0.0890222242315,-0.0916689860611,0.990095726367,-0.0581575090295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00405153166503,-0.0688212513924,-0.0270189642906,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,-0.151735395193,0.0323399454355,-0.0822533965111,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
1492807363542735095,247171,1492807363542619266,robot_frame,0.0898292604832,-0.0915501024785,0.990048184722,-0.0579130573082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00553674995899,-0.086645975709,-0.0337064228952,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,-0.132350027561,0.00808460265398,-0.107513539493,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
1492807363563030718,247172,1492807363562897951,robot_frame,0.0908039358043,-0.0913873229737,0.989990654273,-0.0576327386187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085239559412,-0.101415462792,-0.0407534390688,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,-0.10877917707,0.00512442737818,-0.11681111902,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
1492807363583304082,247173,1492807363583210303,robot_frame,0.0919316755964,-0.0911814401256,0.989924568015,-0.0573058476617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111080668867,-0.116100713611,-0.0473246276379,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,-0.0880861133337,0.0247779693455,-0.166397333145,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
1492807363603635440,247174,1492807363603543602,robot_frame,0.0931967006598,-0.0909178663297,0.989852033289,-0.0569329744929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0161152333021,-0.130288809538,-0.0528570860624,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,-0.0758544877172,0.01091398485,-0.13992933929,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
1492807363623916441,247175,1492807363623822096,robot_frame,0.0945932526196,-0.090599388608,0.989772249304,-0.0565235178596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0217804275453,-0.142198935151,-0.0581428445876,7.76232013777e-07,2.32781999898e-07,-2.14484998651e-07,2.32781999898e-07,6.00022019626e-07,-1.78793001737e-07,-2.14484998651e-07,-1.78793001737e-07,5.04154002101e-07,-0.0788419395685,0.0456821322441,-0.167349159718,0.000270822987659,1.51883996296e-05,4.38888991994e-06,1.51883996296e-05,0.000250034994679,6.82746976963e-05,4.38888991994e-06,6.82746976963e-05,0.000398672011215
