%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fluid_pressure,field.variance
1492808505867135981,81960,1492808505868428033,/fluid_pressure,105730.007812,0.0
1492808505941200301,81961,1492808505942428033,/fluid_pressure,105690.0,0.0
1492808506015206361,81962,1492808506016428033,/fluid_pressure,105790.0,0.0
1492808506089488354,81963,1492808506090428033,/fluid_pressure,105590.0,0.0
1492808506163908300,81964,1492808506165428033,/fluid_pressure,105680.007812,0.0
1492808506238366495,81965,1492808506239428033,/fluid_pressure,105710.0,0.0
1492808506312625946,81966,1492808506313428033,/fluid_pressure,105700.0,0.0
1492808506387349075,81967,1492808506387428033,/fluid_pressure,105700.0,0.0
1492808506461243434,81968,1492808506462428033,/fluid_pressure,105760.0,0.0
1492808506535098708,81969,1492808506536247884,/fluid_pressure,105780.007812,0.0
1492808506609264861,81970,1492808506610247884,/fluid_pressure,105790.0,0.0
1492808506684223091,81971,1492808506685247884,/fluid_pressure,105740.0,0.0
1492808506758540987,81972,1492808506759247884,/fluid_pressure,105810.0,0.0
1492808506832494889,81973,1492808506833247884,/fluid_pressure,105800.0,0.0
1492808506906581460,81974,1492808506907247884,/fluid_pressure,105760.0,0.0
1492808506981345262,81975,1492808506982247884,/fluid_pressure,105730.007812,0.0
1492808507055340025,81976,1492808507056247884,/fluid_pressure,105730.007812,0.0
1492808507129061442,81977,1492808507130247884,/fluid_pressure,105719.992188,0.0
1492808507204241893,81978,1492808507204247884,/fluid_pressure,105769.992188,0.0
1492808507278093228,81979,1492808507279247884,/fluid_pressure,105719.992188,0.0
1492808507352643692,81980,1492808507353247884,/fluid_pressure,105750.0,0.0
1492808507426693366,81981,1492808507427247884,/fluid_pressure,105750.0,0.0
1492808507501776105,81982,1492808507502247884,/fluid_pressure,105750.0,0.0
1492808507575665649,81983,1492808507576247884,/fluid_pressure,105790.0,0.0
1492808507649383113,81984,1492808507650247884,/fluid_pressure,105800.0,0.0
1492808507723204884,81985,1492808507724247884,/fluid_pressure,105750.0,0.0
1492808507798378218,81986,1492808507799247884,/fluid_pressure,105740.0,0.0
1492808507872718732,81987,1492808507873247884,/fluid_pressure,105750.0,0.0
1492808507946134639,81988,1492808507947247884,/fluid_pressure,105730.007812,0.0
1492808508020379185,81989,1492808508021247884,/fluid_pressure,105750.0,0.0
1492808508095641958,81990,1492808508096247884,/fluid_pressure,105700.0,0.0
1492808508168812104,81991,1492808508170247884,/fluid_pressure,105650.0,0.0
1492808508243290586,81992,1492808508244247884,/fluid_pressure,105650.0,0.0
1492808508318553880,81993,1492808508318247884,/fluid_pressure,105680.007812,0.0
1492808508392084982,81994,1492808508393247884,/fluid_pressure,105710.0,0.0
1492808508466714337,81995,1492808508467247884,/fluid_pressure,105750.0,0.0
1492808508540721892,81996,1492808508541247884,/fluid_pressure,105760.0,0.0
1492808508615739929,81997,1492808508616247884,/fluid_pressure,105800.0,0.0
1492808508689557564,81998,1492808508690247884,/fluid_pressure,105760.0,0.0
1492808508763114910,81999,1492808508764247884,/fluid_pressure,105850.0,0.0
1492808508838601459,82000,1492808508838247884,/fluid_pressure,105769.992188,0.0
1492808508911828821,82001,1492808508913247884,/fluid_pressure,105750.0,0.0
1492808508986544239,82002,1492808508987247884,/fluid_pressure,105740.0,0.0
1492808509059887464,82003,1492808509061865961,/fluid_pressure,105700.0,0.0
1492808509134911937,82004,1492808509136865961,/fluid_pressure,105719.992188,0.0
1492808509209668924,82005,1492808509210865961,/fluid_pressure,105719.992188,0.0
1492808509283229011,82006,1492808509284865961,/fluid_pressure,105740.0,0.0
1492808509357519721,82007,1492808509358865961,/fluid_pressure,105730.007812,0.0
1492808509432358856,82008,1492808509433865961,/fluid_pressure,105700.0,0.0
1492808509506540816,82009,1492808509507865961,/fluid_pressure,105800.0,0.0
1492808509580366522,82010,1492808509581865961,/fluid_pressure,105740.0,0.0
1492808509655708883,82011,1492808509655865961,/fluid_pressure,105760.0,0.0
1492808509729492678,82012,1492808509730865961,/fluid_pressure,105740.0,0.0
1492808509803245852,82013,1492808509804865961,/fluid_pressure,105690.0,0.0
1492808509876931067,82014,1492808509878865961,/fluid_pressure,105740.0,0.0
1492808509952857730,82015,1492808509952865961,/fluid_pressure,105680.007812,0.0
1492808510026411324,82016,1492808510027865961,/fluid_pressure,105660.0,0.0
1492808510099989376,82017,1492808510101865961,/fluid_pressure,105630.007812,0.0
1492808510174697833,82018,1492808510175865961,/fluid_pressure,105660.0,0.0
1492808510249871939,82019,1492808510250865961,/fluid_pressure,105650.0,0.0
1492808510322980561,82020,1492808510324865961,/fluid_pressure,105710.0,0.0
1492808510397843258,82021,1492808510398865961,/fluid_pressure,105740.0,0.0
1492808510471953702,82022,1492808510472865961,/fluid_pressure,105730.007812,0.0
1492808510546240437,82023,1492808510547865961,/fluid_pressure,105730.007812,0.0
1492808510620795373,82024,1492808510621865961,/fluid_pressure,105830.007812,0.0
1492808510694874032,82025,1492808510695865961,/fluid_pressure,105800.0,0.0
1492808510768943584,82026,1492808510769865961,/fluid_pressure,105790.0,0.0
1492808510843607489,82027,1492808510844865961,/fluid_pressure,105750.0,0.0
1492808510917857597,82028,1492808510918865961,/fluid_pressure,105769.992188,0.0
1492808510991165847,82029,1492808510992865961,/fluid_pressure,105750.0,0.0
1492808511066651483,82030,1492808511066865961,/fluid_pressure,105750.0,0.0
1492808511140739225,82031,1492808511141865961,/fluid_pressure,105769.992188,0.0
1492808511214315373,82032,1492808511215865961,/fluid_pressure,105710.0,0.0
1492808511287960297,82033,1492808511289865961,/fluid_pressure,105719.992188,0.0
1492808511362863425,82034,1492808511364865961,/fluid_pressure,105669.992188,0.0
1492808511437081721,82035,1492808511438865961,/fluid_pressure,105700.0,0.0
1492808511511430008,82036,1492808511512865961,/fluid_pressure,105630.007812,0.0
1492808511586183948,82037,1492808511586208974,/fluid_pressure,105650.0,0.0
1492808511660554211,82038,1492808511661208974,/fluid_pressure,105719.992188,0.0
1492808511734901117,82039,1492808511735208974,/fluid_pressure,105680.007812,0.0
1492808511808798709,82040,1492808511809208974,/fluid_pressure,105690.0,0.0
1492808511883261173,82041,1492808511883208974,/fluid_pressure,105710.0,0.0
1492808511957016815,82042,1492808511958208974,/fluid_pressure,105710.0,0.0
1492808512030909420,82043,1492808512032208974,/fluid_pressure,105760.0,0.0
1492808512105548924,82044,1492808512106208974,/fluid_pressure,105750.0,0.0
1492808512180287898,82045,1492808512180208974,/fluid_pressure,105769.992188,0.0
1492808512254723415,82046,1492808512255208974,/fluid_pressure,105769.992188,0.0
1492808512328316884,82047,1492808512329208974,/fluid_pressure,105719.992188,0.0
1492808512403276934,82048,1492808512403208974,/fluid_pressure,105790.0,0.0
1492808512477656788,82049,1492808512478208974,/fluid_pressure,105780.007812,0.0
1492808512551516777,82050,1492808512552208974,/fluid_pressure,105740.0,0.0
1492808512625546248,82051,1492808512626208974,/fluid_pressure,105760.0,0.0
1492808512700174652,82052,1492808512700208974,/fluid_pressure,105680.007812,0.0
1492808512774265731,82053,1492808512775208974,/fluid_pressure,105750.0,0.0
1492808512848003580,82054,1492808512849208974,/fluid_pressure,105690.0,0.0
1492808512922838646,82055,1492808512923208974,/fluid_pressure,105669.992188,0.0
1492808512997706802,82056,1492808512997208974,/fluid_pressure,105719.992188,0.0
1492808513071390374,82057,1492808513072208974,/fluid_pressure,105690.0,0.0
1492808513145667571,82058,1492808513146208974,/fluid_pressure,105740.0,0.0
1492808513219376768,82059,1492808513220208974,/fluid_pressure,105719.992188,0.0
1492808513294458544,82060,1492808513294208974,/fluid_pressure,105769.992188,0.0
1492808513368251491,82061,1492808513369208974,/fluid_pressure,105760.0,0.0
1492808513442446894,82062,1492808513443208974,/fluid_pressure,105719.992188,0.0
1492808513517433097,82063,1492808513517208974,/fluid_pressure,105750.0,0.0
1492808513591303240,82064,1492808513592208974,/fluid_pressure,105690.0,0.0
1492808513665719546,82065,1492808513666208974,/fluid_pressure,105730.007812,0.0
1492808513739650311,82066,1492808513740208974,/fluid_pressure,105669.992188,0.0
1492808513814681521,82067,1492808513814208974,/fluid_pressure,105630.007812,0.0
1492808513888670170,82068,1492808513889208974,/fluid_pressure,105680.007812,0.0
1492808513962752324,82069,1492808513963208974,/fluid_pressure,105660.0,0.0
1492808514037199810,82070,1492808514037208974,/fluid_pressure,105680.007812,0.0
1492808514111650630,82071,1492808514112910902,/fluid_pressure,105740.0,0.0
1492808514185690709,82072,1492808514187910902,/fluid_pressure,105719.992188,0.0
1492808514259595773,82073,1492808514261910902,/fluid_pressure,105710.0,0.0
1492808514334396076,82074,1492808514335910902,/fluid_pressure,105760.0,0.0
1492808514408459856,82075,1492808514409910902,/fluid_pressure,105740.0,0.0
1492808514482986956,82076,1492808514484910902,/fluid_pressure,105760.0,0.0
1492808514556262804,82077,1492808514558910902,/fluid_pressure,105769.992188,0.0
1492808514631183587,82078,1492808514632910902,/fluid_pressure,105740.0,0.0
1492808514705379451,82079,1492808514707910902,/fluid_pressure,105740.0,0.0
1492808514778932594,82080,1492808514781910902,/fluid_pressure,105730.007812,0.0
1492808514852930705,82081,1492808514855910902,/fluid_pressure,105719.992188,0.0
1492808514928003052,82082,1492808514929910902,/fluid_pressure,105740.0,0.0
1492808515001947176,82083,1492808515004910902,/fluid_pressure,105700.0,0.0
1492808515076136663,82084,1492808515078910902,/fluid_pressure,105680.007812,0.0
1492808515150968846,82085,1492808515152910902,/fluid_pressure,105660.0,0.0
1492808515225291634,82086,1492808515226910902,/fluid_pressure,105680.007812,0.0
1492808515299858564,82087,1492808515301910902,/fluid_pressure,105710.0,0.0
1492808515373810690,82088,1492808515375910902,/fluid_pressure,105650.0,0.0
1492808515447901176,82089,1492808515449910902,/fluid_pressure,105650.0,0.0
1492808515523037934,82090,1492808515523910902,/fluid_pressure,105690.0,0.0
1492808515596177971,82091,1492808515598910902,/fluid_pressure,105669.992188,0.0
1492808515670159665,82092,1492808515672910902,/fluid_pressure,105669.992188,0.0
1492808515745035748,82093,1492808515746910902,/fluid_pressure,105710.0,0.0
1492808515819565590,82094,1492808515820910902,/fluid_pressure,105730.007812,0.0
1492808515893394346,82095,1492808515895910902,/fluid_pressure,105700.0,0.0
1492808515967293078,82096,1492808515969910902,/fluid_pressure,105730.007812,0.0
1492808516042901010,82097,1492808516043910902,/fluid_pressure,105810.0,0.0
1492808516116679746,82098,1492808516118910902,/fluid_pressure,105750.0,0.0
1492808516190456675,82099,1492808516192910902,/fluid_pressure,105800.0,0.0
1492808516265623963,82100,1492808516266910902,/fluid_pressure,105819.992188,0.0
1492808516338925079,82101,1492808516340910902,/fluid_pressure,105810.0,0.0
1492808516413024115,82102,1492808516415910902,/fluid_pressure,105769.992188,0.0
1492808516486906601,82103,1492808516489910902,/fluid_pressure,105730.007812,0.0
1492808516561895150,82104,1492808516563910902,/fluid_pressure,105750.0,0.0
1492808516636214529,82105,1492808516638072956,/fluid_pressure,105700.0,0.0
1492808516710058321,82106,1492808516712072956,/fluid_pressure,105700.0,0.0
1492808516784129515,82107,1492808516786072956,/fluid_pressure,105690.0,0.0
1492808516858874724,82108,1492808516860072956,/fluid_pressure,105669.992188,0.0
1492808516933595920,82109,1492808516935072956,/fluid_pressure,105700.0,0.0
1492808517007763857,82110,1492808517009072956,/fluid_pressure,105680.007812,0.0
1492808517082719487,82111,1492808517083072956,/fluid_pressure,105660.0,0.0
1492808517156416944,82112,1492808517157072956,/fluid_pressure,105750.0,0.0
1492808517230443338,82113,1492808517232072956,/fluid_pressure,105750.0,0.0
1492808517304335727,82114,1492808517306072956,/fluid_pressure,105790.0,0.0
