%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_ref,field.source
1492808500409669626,551,1492808500409218072,robot_frame,1492808504000000000,robot_frame
1492808501409390982,552,1492808501409014940,robot_frame,1492808505000000000,robot_frame
1492808502410976354,553,1492808502410701036,robot_frame,1492808506000000000,robot_frame
1492808503409860404,554,1492808503409562110,robot_frame,1492808507000000000,robot_frame
1492808504410554032,555,1492808504410315990,robot_frame,1492808508000000000,robot_frame
1492808505409476084,556,1492808505409162044,robot_frame,1492808509000000000,robot_frame
1492808506412180536,557,1492808506411922931,robot_frame,1492808510000000000,robot_frame
1492808507411074085,558,1492808507410819053,robot_frame,1492808511000000000,robot_frame
1492808508410878850,559,1492808508410654067,robot_frame,1492808512000000000,robot_frame
1492808509411928704,560,1492808509411571025,robot_frame,1492808513000000000,robot_frame
1492808510408693568,561,1492808510408411026,robot_frame,1492808514000000000,robot_frame
1492808511411566951,562,1492808511411223888,robot_frame,1492808515000000000,robot_frame
1492808512412274814,563,1492808512412034034,robot_frame,1492808516000000000,robot_frame
1492808513411007601,564,1492808513410782098,robot_frame,1492808517000000000,robot_frame
1492808514410930664,565,1492808514410665988,robot_frame,1492808518000000000,robot_frame
1492808515410716096,566,1492808515410471916,robot_frame,1492808519000000000,robot_frame
1492808516412530748,567,1492808516412266016,robot_frame,1492808520000000000,robot_frame
1492808517414573861,568,1492808517414150953,robot_frame,1492808521000000000,robot_frame
1492808518412180152,569,1492808518411943912,robot_frame,1492808522000000000,robot_frame
1492808519412031495,570,1492808519411660909,robot_frame,1492808523000000000,robot_frame
1492808520411753062,571,1492808520411479949,robot_frame,1492808524000000000,robot_frame
1492808521407693135,572,1492808521407291889,robot_frame,1492808525000000000,robot_frame
1492808522412473078,573,1492808522412003993,robot_frame,1492808526000000000,robot_frame
1492808523412977794,574,1492808523412739038,robot_frame,1492808527000000000,robot_frame
1492808524412894755,575,1492808524412533044,robot_frame,1492808528000000000,robot_frame
1492808525413608485,576,1492808525413378000,robot_frame,1492808529000000000,robot_frame
1492808526411505219,577,1492808526411164045,robot_frame,1492808530000000000,robot_frame
1492808527411299912,578,1492808527411000013,robot_frame,1492808531000000000,robot_frame
1492808528409031884,579,1492808528408802032,robot_frame,1492808532000000000,robot_frame
1492808529414732406,580,1492808529414537906,robot_frame,1492808533000000000,robot_frame
1492808530412492051,581,1492808530412321090,robot_frame,1492808534000000000,robot_frame
1492808531412398621,582,1492808531412142992,robot_frame,1492808535000000000,robot_frame
1492808532407426892,583,1492808532406976938,robot_frame,1492808536000000000,robot_frame
1492808533411901275,584,1492808533411639928,robot_frame,1492808537000000000,robot_frame
1492808534412773915,585,1492808534412414073,robot_frame,1492808538000000000,robot_frame
1492808535412453641,586,1492808535412230014,robot_frame,1492808539000000000,robot_frame
1492808536411225721,587,1492808536410984039,robot_frame,1492808540000000000,robot_frame
1492808537412047537,588,1492808537411802053,robot_frame,1492808541000000000,robot_frame
1492808538410888499,589,1492808538410645961,robot_frame,1492808542000000000,robot_frame
1492808539408000750,590,1492808539407578945,robot_frame,1492808543000000000,robot_frame
1492808540410465404,591,1492808540410284996,robot_frame,1492808544000000000,robot_frame
1492808541410404333,592,1492808541410084962,robot_frame,1492808545000000000,robot_frame
1492808542411154977,593,1492808542410862922,robot_frame,1492808546000000000,robot_frame
1492808543412082398,594,1492808543411752939,robot_frame,1492808547000000000,robot_frame
