%time,field.control_vel,field.desired_vel,field.control_pitch,field.desired_pitch,field.control_yaw,field.desired_yaw
1492808499677950559,0,0.0,0,0.0,0,0.0
1492808499778011355,0,0.0,0,0.0,0,0.0
1492808499877942657,0,0.0,0,0.0,0,0.0
1492808499977884550,0,0.0,0,0.0,0,0.0
1492808500078018900,0,0.0,0,0.0,0,0.0
1492808500177833677,0,0.0,0,0.0,0,0.0
1492808500277894327,0,0.0,0,0.0,0,0.0
1492808500378074610,0,0.0,0,0.0,0,0.0
1492808500478207291,0,0.0,0,0.0,0,0.0
1492808500577939549,0,0.0,0,0.0,0,0.0
1492808500677868975,0,0.0,0,0.0,0,0.0
1492808500777852536,0,0.0,0,0.0,0,0.0
1492808500878018476,0,0.0,0,0.0,0,0.0
1492808500977918618,0,0.0,0,0.0,0,0.0
1492808501077931594,0,0.0,0,0.0,0,0.0
1492808501177979591,0,0.0,0,0.0,0,0.0
1492808501277957085,0,0.0,0,0.0,0,0.0
1492808501378115879,0,0.0,0,0.0,0,0.0
1492808501478046522,0,0.0,0,0.0,0,0.0
1492808501577920115,0,0.0,0,0.0,0,0.0
1492808501678116827,0,0.0,0,0.0,0,0.0
1492808501778014150,0,0.0,0,0.0,0,0.0
1492808501877995058,0,0.0,0,0.0,0,0.0
1492808501977967858,0,0.0,0,0.0,0,0.0
1492808502078001513,0,0.0,0,0.0,0,0.0
1492808502177903683,0,0.0,0,0.0,0,0.0
1492808502277885843,0,0.0,0,0.0,0,0.0
1492808502377881022,0,0.0,0,0.0,0,0.0
1492808502477916393,0,0.0,0,0.0,0,0.0
1492808502577986625,0,0.0,0,0.0,0,0.0
1492808502677921046,0,0.0,0,0.0,0,0.0
1492808502777964196,0,0.0,0,0.0,0,0.0
1492808502877999512,0,0.0,0,0.0,0,0.0
1492808502977921300,0,0.0,0,0.0,0,0.0
1492808503077885990,0,0.0,0,0.0,0,0.0
1492808503178013469,0,0.0,0,0.0,0,0.0
1492808503277936852,0,0.0,0,0.0,0,0.0
1492808503377935481,0,0.0,0,0.0,0,0.0
1492808503477933068,0,0.0,0,0.0,0,0.0
1492808503577990701,0,0.0,0,0.0,0,0.0
1492808503677985403,0,0.0,0,0.0,0,0.0
1492808503777932272,0,0.0,0,0.0,0,0.0
1492808503877991990,0,0.0,0,0.0,0,0.0
1492808503978018907,0,0.0,0,0.0,0,0.0
1492808504078114119,0,0.0,0,0.0,0,0.0
1492808504177968977,0,0.0,0,0.0,0,0.0
1492808504278099677,1,0.00214709062129,0,0.0,1,1.57000005245
1492808504378085302,1,0.00530040543526,0,0.0,1,1.57000005245
1492808504478082745,1,0.00847908202559,0,0.0,1,1.57000005245
1492808504578111640,1,0.0116759827361,0,0.0,1,1.57000005245
1492808504678089836,1,0.014898000285,0,0.0,1,1.57000005245
1492808504778115689,1,0.0181382801384,0,0.0,1,1.57000005245
1492808504878105579,1,0.0213948599994,0,0.0,1,1.57000005245
1492808504978079378,1,0.0246703103185,0,0.0,1,1.57000005245
1492808505078092784,1,0.027961878106,0,0.0,1,1.57000005245
1492808505178056381,1,0.0312678813934,0,0.0,1,1.57000005245
1492808505278061407,1,0.0345877408981,0,0.0,1,1.57000005245
1492808505378108536,1,0.0379273556173,0,0.0,1,1.57000005245
1492808505478270555,1,0.0412739701569,0,0.0,1,1.57000005245
1492808505578037580,1,0.0446281507611,0,0.0,1,1.57000005245
1492808505678106700,1,0.0479937456548,0,0.0,1,1.57000005245
1492808505778073486,1,0.0513694323599,0,0.0,1,1.57000005245
1492808505878057627,1,0.0547497682273,0,0.0,1,1.57000005245
1492808505978032918,1,0.0581366717815,0,0.0,1,1.57000005245
1492808506078284650,1,0.0615342669189,0,0.0,1,1.57000005245
1492808506178082645,1,0.0649306923151,0,0.0,1,1.57000005245
1492808506277955842,1,0.0683291107416,0,0.0,1,1.57000005245
1492808506378025833,1,0.0717303901911,0,0.0,1,1.57000005245
1492808506478079092,1,0.0751367285848,0,0.0,1,1.57000005245
1492808506578065751,1,0.0785376131535,0,0.0,1,1.57000005245
1492808506678125853,1,0.0819395333529,0,0.0,1,1.57000005245
1492808506778050019,1,0.0853387862444,0,0.0,1,1.57000005245
1492808506878104624,1,0.0887281298637,0,0.0,1,1.57000005245
1492808506978044145,1,0.0921193510294,0,0.0,1,1.57000005245
1492808507078069252,1,0.0955019071698,0,0.0,1,1.57000005245
