%time,field.P_vel,field.I_vel,field.D_vel,field.P_pitch,field.I_pitch,field.D_pitch,field.P_yaw,field.I_yaw,field.D_yaw
1492808506755565684,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808506855706590,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808506955688819,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808507055823241,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808507155756796,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808507255660106,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808507355680467,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808507455738766,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808507555859829,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808507655611653,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808507755584885,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808507855656492,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808507955659901,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808508055640723,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808508155595146,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808508255685710,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808508355644754,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808508455680539,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808508555552984,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808508655545776,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808508756123966,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808508855744741,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808508955677212,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808509055679610,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808509155758217,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808509255659528,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808509355776200,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808509455788123,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808509555742704,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808509655952439,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808509755613337,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808509855612285,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808509955587076,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808510055560968,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808510155795689,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808510255669838,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808510355929274,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808510455815130,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808510555763623,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808510655646934,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808510755606547,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808510855640884,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808510955702643,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808511055907176,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808511155586070,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808511255647675,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808511355615705,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808511455676711,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808511555671912,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808511655597747,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808511755549103,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808511855652347,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808511955797807,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808512055666355,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808512155728549,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808512255597235,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808512355756064,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808512455563544,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808512555649402,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808512656318782,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808512755818822,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808512855650976,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808512955612021,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808513055695490,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808513155771592,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808513255649529,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808513355868017,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808513455665161,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808513555625509,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808513655710294,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808513755652270,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808513855613754,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808513955624179,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808514055611405,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808514155653117,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808514255599382,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808514355668968,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808514455828085,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808514555589148,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808514655563436,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808514755555135,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808514855679486,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808514955564615,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808515055688559,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808515155688879,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808515255965886,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808515355644308,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808515455599750,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808515555646657,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808515655666494,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808515755617623,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808515855633826,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808515955683783,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808516055694468,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808516155590100,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808516255591210,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808516355852286,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808516455708361,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808516555611798,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808516655651666,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808516755651193,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808516855653738,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808516955734567,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808517055760275,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808517155640666,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808517255921372,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808517355877004,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808517455802553,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808517555619612,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808517655690335,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808517755650643,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808517855628640,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808517955734991,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808518055654571,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808518155698246,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808518255643024,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808518355851410,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808518455636377,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808518555778848,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808518655687797,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808518755616660,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808518855678369,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808518955811809,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808519055591472,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808519155868734,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808519255736715,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808519355656476,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808519455775569,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808519555728791,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808519655640966,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808519756100091,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808519855639093,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808519955867654,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808520055806733,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808520155602716,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808520255678341,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808520355660377,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808520455673807,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808520555697590,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808520655593383,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808520755709197,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808520855654380,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808520955684611,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808521055639641,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808521155685512,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808521255644221,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808521355854522,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808521455648065,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808521555650910,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808521655705826,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808521755719312,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808521855677363,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808521955779216,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808522055519911,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808522155759972,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808522255741004,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808522355964475,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808522456208669,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808522555656979,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808522655711678,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808522755739542,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808522855632435,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808522955538983,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808523056136264,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808523155668224,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808523255743098,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808523355663614,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808523455603700,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808523555650066,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808523655685702,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808523755902217,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808523855633259,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808523955724810,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808524055524891,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808524156051668,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808524255660909,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808524355771711,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808524455681885,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808524555596308,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808524655641454,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808524755629749,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808524855724101,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808524955649462,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808525055758871,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808525155738356,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808525255616897,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808525355558354,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808525455738714,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808525555588487,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808525655576243,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808525755558768,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808525855691336,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808525955819125,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808526055768733,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808526155623135,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808526255666750,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808526355582891,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808526455705107,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808526555731974,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808526655672060,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808526755612034,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808526855703461,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808526955586472,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808527055619509,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808527155807194,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808527255746689,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808527355642441,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808527455708445,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808527555566806,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808527655705844,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808527755676608,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808527855662402,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808527955563597,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808528055777544,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808528155781225,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808528255898852,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808528355681195,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808528455830428,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808528555640324,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808528655595498,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808528755656563,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808528855714870,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808528955600603,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808529055768030,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808529155625842,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808529255559342,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808529356006207,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808529455799502,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808529555774152,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808529655732985,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808529755676214,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808529855684723,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808529955611049,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808530055706171,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808530155768234,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808530255767247,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808530355610441,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808530455716421,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808530555636481,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808530655567913,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808530755632233,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808530855602293,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808530955735188,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
