%time,field.header.seq,field.header.stamp,field.header.frame_id,field.RPY.x,field.RPY.y,field.RPY.z,field.Mag.x,field.Mag.y,field.Mag.z,field.Accel.x,field.Accel.y,field.Accel.z,field.Gyro.x,field.Gyro.y,field.Gyro.z,field.LinearAccelBody.x,field.LinearAccelBody.y,field.LinearAccelBody.z,field.LinearAccelNed.x,field.LinearAccelNed.y,field.LinearAccelNed.z
1492808165396236157,287263,0,,-10.7438592911,9.2120885849,-28.7404022217,0.118614412844,-0.229591429234,0.410395443439,1.45924270153,1.84051311016,-9.58101654053,0.033013176173,-0.0708496794105,0.0351328141987,-0.108632743359,0.0383225530386,-0.083052046597,-0.0958182811737,0.0778298377991,-0.0702047348022
1492808165418742029,287264,0,,-10.6961212158,9.14987659454,-28.681854248,0.118716552854,-0.225469529629,0.410542994738,1.42669630051,1.81540775299,-9.58061790466,0.0331726372242,-0.056240029633,0.0415307432413,-0.130680605769,0.0208172500134,-0.0794892013073,-0.12188577652,0.0731802582741,-0.0601482391357
1492808165439064751,287265,0,,-10.6483182907,9.10544967651,-28.6206073761,0.120813652873,-0.230629190803,0.41149353981,1.46531903744,1.85409808159,-9.56593513489,0.0326917469501,-0.0404225252569,0.0453392453492,-0.0845601484179,0.0672123208642,-0.0621278360486,-0.0573577880859,0.0934708714485,-0.0591697692871
1492808165459398950,287266,0,,-10.5996227264,9.07913684845,-28.5579109192,0.119751773775,-0.228564217687,0.411544054747,1.49763774872,1.824259758,-9.59181022644,0.0343355312943,-0.0254063475877,0.0475891381502,-0.047800809145,0.0453207455575,-0.0857878476381,-0.0405497550964,0.0548217892647,-0.0839567184448
1492808165479697651,287267,0,,-10.5515089035,9.07182884216,-28.496055603,0.120891183615,-0.227539032698,0.413791298866,1.53857839108,1.82543480396,-9.57227516174,0.0343313105404,-0.00932668522,0.0508848689497,-0.00562623795122,0.0544433183968,-0.0645709484816,0.00483369827271,0.0448226332664,-0.0716428756714
1492808165499964887,287268,0,,-10.502573967,9.08353900909,-28.4374885559,0.119699582458,-0.230624184012,0.409284859896,1.54736280441,1.79802942276,-9.58217811584,0.0350816510618,0.00727927498519,0.051182731986,0.00118142925203,0.0352161973715,-0.0732740834355,0.000261545181274,0.0240468382835,-0.0776681900024
1492808165520304509,287269,0,,-10.4546442032,9.11454963684,-28.3814792633,0.117553979158,-0.227527335286,0.411538720131,1.5993475914,1.78298521042,-9.59934997559,0.0349653400481,0.0246269032359,0.052248429507,0.0479315668344,0.0282791517675,-0.0897979140282,0.0340890884399,-0.00532925128937,-0.0998516082764
1492808165540633549,287270,0,,-10.4069023132,9.1631565094,-28.3291988373,0.117555342615,-0.227528586984,0.412633925676,1.63580644131,1.78519082069,-9.60405349731,0.0348553657532,0.0393061675131,0.0503282099962,0.0761879086494,0.0386475548148,-0.0943413153291,0.0621733665466,-0.00969439744949,-0.1106300354
1492808165560953460,287271,0,,-10.3601207733,9.23078250885,-28.282459259,0.118614681065,-0.229591622949,0.410394579172,1.6818523407,1.78832066059,-9.59437561035,0.0350934565067,0.0556604713202,0.0486538819969,0.110822878778,0.0498748421669,-0.0850585252047,0.0992412567139,-0.0150542259216,-0.109218597412
1492808165581290633,287272,0,,-10.3147182465,9.31596088409,-28.2395496368,0.114194989204,-0.228548720479,0.415805220604,1.73012590408,1.77725934982,-9.60370635986,0.0349037908018,0.0711393207312,0.0474560000002,0.144727125764,0.0467698276043,-0.0953233093023,0.124946832657,-0.0342504382133,-0.124238014221
1492808165596471700,287273,0,,-10.2705335617,9.41561985016,-28.2046394348,0.118665575981,-0.227530509233,0.411559134722,1.77002072334,1.76060009003,-9.62161445618,0.0343266762793,0.0837184339762,0.0431897193193,0.167813703418,0.0379377268255,-0.114626944065,0.136643409729,-0.0541135668755,-0.145397186279
1492808165616820858,287274,0,,-10.2292785645,9.52799510956,-28.1769809723,0.117582663894,-0.226499438286,0.415948241949,1.82095003128,1.77232432365,-9.6015663147,0.0325992926955,0.09546328336,0.0384096205235,0.199796766043,0.0570693090558,-0.0964520871639,0.176792621613,-0.050422847271,-0.13667678833
1492808165637153077,287275,0,,-10.1918144226,9.65022850037,-28.1577320099,0.113133281469,-0.226483494043,0.415853798389,1.847905159,1.76110184193,-9.61374187469,0.0287654288113,0.104250200093,0.0329865217209,0.20614951849,0.052677962929,-0.110932156444,0.176869869232,-0.0581261515617,-0.151383399963
1492808165657433040,287276,0,,-10.1572227478,9.77846240997,-28.1451892853,0.115382350981,-0.225460067391,0.414842665195,1.89136123657,1.73109292984,-9.61538887024,0.0277252104133,0.107843354344,0.0257372576743,0.228000864387,0.0290589854121,-0.115190923214,0.184282779694,-0.0891833901405,-0.155511856079
1492808165677762459,287277,0,,-10.1278381348,9.91061019897,-28.1422977448,0.112044811249,-0.225447773933,0.413679182529,1.92849731445,1.73013544083,-9.59731864929,0.0247747078538,0.112935177982,0.019779432565,0.242880776525,0.0336530134082,-0.100051052868,0.202452898026,-0.0906739830971,-0.144654273987
1492808165698076487,287278,0,,-10.1023216248,10.0432262421,-28.1463050842,0.113054133952,-0.229572534561,0.412461698055,1.9517313242,1.74065876007,-9.64986801147,0.0238192677498,0.113602116704,0.0121354926378,0.243789806962,0.0490953065455,-0.155713185668,0.196686029434,-0.0813847184181,-0.201944351196
1492808165718443993,287279,0,,-10.0832548141,10.1737117767,-28.1616420746,0.110907919705,-0.22647498548,0.414712816477,1.96534359455,1.74276471138,-9.64358139038,0.0204305257648,0.112640656531,0.00292124319822,0.235443592072,0.0550458692014,-0.152717068791,0.192352056503,-0.0718274712563,-0.199067115784
1492808165738764244,287280,0,,-10.0704803467,10.2993764877,-28.1850547791,0.108733065426,-0.224405094981,0.413643300533,1.98895859718,1.74700045586,-9.68315887451,0.014288906008,0.110248863697,-0.00341629097238,0.237920701504,0.0620652772486,-0.195678085089,0.186960220337,-0.0696737766266,-0.242774963379
1492808165758987396,287281,0,,-10.0635433197,10.420841217,-28.2158927917,0.107570804656,-0.226462602615,0.41573035717,2.00192928314,1.74233305454,-9.66780471802,0.0100069958717,0.106264933944,-0.00936108455062,0.230467393994,0.0591993182898,-0.183796748519,0.181613445282,-0.0677440166473,-0.229844093323
1492808165779280883,287282,0,,-10.0637207031,10.5380725861,-28.2535057068,0.107571355999,-0.226463243365,0.41573253274,1.9770154953,1.72073340416,-9.66466140747,0.00465072644874,0.103647045791,-0.0175064913929,0.185848534107,0.0382067039609,-0.184245660901,0.133212089539,-0.0654312968254,-0.218904495239
1492808165799673863,287283,0,,-10.0706930161,10.6495342255,-28.2998313904,0.106484860182,-0.225428923965,0.416836559772,1.99873197079,1.72630488873,-9.67455863953,-0.000841864617541,0.0997610837221,-0.0235454067588,0.188837468624,0.043237131089,-0.197796851397,0.134269952774,-0.0632290840149,-0.233722686768
1492808165819952457,287284,0,,-10.0861358643,10.7549600601,-28.3507442474,0.108654767275,-0.227494493127,0.412433475256,1.9681289196,1.76846885681,-9.68862724304,-0.00737801194191,0.0959897637367,-0.0280661843717,0.140526786447,0.0834329202771,-0.215613886714,0.105313539505,-0.00639349222183,-0.249131202698
1492808165840258222,287285,0,,-10.1087694168,10.85542202,-28.404964447,0.108708821237,-0.225436106324,0.416881769896,1.94489133358,1.74113273621,-9.70075321198,-0.0133776944131,0.092675536871,-0.0323642678559,0.100422054529,0.052920203656,-0.231576636434,0.0528938770294,-0.0155850052834,-0.251936912537
1492808165860609117,287286,0,,-10.1382322311,10.9507951736,-28.4634609222,0.106509588659,-0.224397927523,0.415780246258,1.9344035387,1.75564813614,-9.70509719849,-0.0174210630357,0.0888368412852,-0.0352809093893,0.0739258006215,0.0631092786789,-0.239824712276,0.0320136547089,0.00529098510742,-0.256731033325
1492808165880801732,287287,0,,-10.174829483,11.0404567719,-28.5222663879,0.107544608414,-0.227492183447,0.415690094233,1.92066919804,1.77096939087,-9.68878078461,-0.0229567624629,0.0829932317138,-0.0374266244471,0.0451470315456,0.0729013308883,-0.227470040321,0.0141699314117,0.0282320380211,-0.241034507751
1492808165901134920,287288,0,,-10.2187719345,11.1249313354,-28.5816173553,0.105344466865,-0.226453006268,0.414586305618,1.88589859009,1.77052628994,-9.68281555176,-0.0303730685264,0.0802309215069,-0.0372468270361,-0.00379399955273,0.0656948015094,-0.225540533662,-0.0310640335083,0.0449833869934,-0.228495597839
1492808165916350171,287289,0,,-10.2711629868,11.2033033371,-28.6404266357,0.105347782373,-0.226455897093,0.417868345976,1.88347899914,1.75743424892,-9.68377876282,-0.0373316854239,0.0750290900469,-0.037285041064,-0.0193568766117,0.0444180294871,-0.230617031455,-0.0554702281952,0.0332401990891,-0.226605415344
1492808165941714408,287290,0,,-10.329668045,11.2758636475,-28.6971340179,0.103095509112,-0.22747682035,0.414506494999,1.84210371971,1.76058781147,-9.70555305481,-0.04287289083,0.0699529275298,-0.0362734533846,-0.0728967860341,0.0383537001908,-0.256525725126,-0.111142396927,0.0514180064201,-0.239987373352
1492808165956947220,287291,0,,-10.3943138123,11.3409528732,-28.7507343292,0.105297781527,-0.228517651558,0.418890804052,1.83867800236,1.76644253731,-9.66918945312,-0.0504300408065,0.0614974275231,-0.0347179435194,-0.0872329100966,0.0339417569339,-0.224256038666,-0.117473125458,0.0563790798187,-0.205119132996
1492808165977256028,287292,0,,-10.4641265869,11.3977622986,-28.7992515564,0.104160517454,-0.229544728994,0.418832093477,1.79952764511,1.79831624031,-9.65954208374,-0.0556209124625,0.0550024025142,-0.0311260987073,-0.135903134942,0.0546561107039,-0.21860973537,-0.148927211761,0.0978962779045,-0.193608283997
1492808165997535759,287293,0,,-10.5402641296,11.4440526962,-28.8431777954,0.105346985161,-0.226455643773,0.415687084198,1.76396262646,1.81038236618,-9.606133461,-0.0617566406727,0.0430933907628,-0.0282898899168,-0.179223433137,0.0544654801488,-0.169068574905,-0.173575878143,0.121417403221,-0.13711643219
1492808166017893132,287294,0,,-10.619925499,11.4784574509,-28.8800163269,0.103097476065,-0.227478817105,0.415605127811,1.74856758118,1.82990431786,-9.59279060364,-0.0638815686107,0.032621845603,-0.022650603205,-0.200382709503,0.0610828846693,-0.159322544932,-0.186385393143,0.137836754322,-0.124617576599
1492808166038164758,287295,0,,-10.7028493881,11.5003538132,-28.9077110291,0.103075049818,-0.228512004018,0.418852120638,1.74354696274,1.78660678864,-9.5421037674,-0.0685009136796,0.0205851700157,-0.0185493528843,-0.209071278572,0.00427267979831,-0.111938752234,-0.206701755524,0.0951899886131,-0.0668773651123
1492808166058435959,287296,0,,-10.7869338989,11.510383606,-28.9267711639,0.103125691414,-0.226450607181,0.417832791805,1.73716795444,1.81543433666,-9.5053358078,-0.0724508240819,0.00946021266282,-0.0129682272673,-0.217130094767,0.019327133894,-0.0781322494149,-0.19814491272,0.114487171173,-0.0354251861572
1492808166078762374,287297,0,,-10.8718957901,11.5079679489,-28.9376831055,0.100846685469,-0.228500753641,0.41333642602,1.70773756504,1.80537199974,-9.49660301208,-0.0731949359179,-0.00223341397941,-0.0063521633856,-0.246155947447,-0.00472814124078,-0.0719921588898,-0.232096910477,0.107501983643,-0.0192956924438
1492808166099126788,287298,0,,-10.9576158524,11.4944057465,-28.9377536774,0.103018932045,-0.230568602681,0.4122158885,1.71618044376,1.83661270142,-9.41492176056,-0.0745645314455,-0.0137447360903,-0.00158106070012,-0.235440924764,0.0123268710449,0.00742338970304,-0.194511890411,0.122984707355,0.0517625808716
1492808166119444216,287299,0,,-11.0407514572,11.4696092606,-28.9280967712,0.104158326983,-0.22954338789,0.414462983608,1.69746351242,1.80546069145,-9.37393283844,-0.0747422128916,-0.02486968413,0.00666597718373,-0.250004410744,-0.0326567701995,0.0465840250254,-0.216584205627,0.093270778656,0.100650787354
1492808166139677789,287300,0,,-11.1223716736,11.4364671707,-28.9114761353,0.104108177125,-0.23160494864,0.415483683348,1.72578728199,1.82110071182,-9.36198234558,-0.0753791481256,-0.0314961634576,0.0124678928405,-0.216128498316,-0.0306516829878,0.0570102222264,-0.183923482895,0.0797845721245,0.103478431702
1492808166160036492,287301,0,,-11.199839592,11.3982400894,-28.886177063,0.104131422937,-0.230573043227,0.411150038242,1.69311034679,1.81952953339,-9.31604385376,-0.0718178972602,-0.0359727852046,0.0187232065946,-0.242400661111,-0.0452081225812,0.101706057787,-0.201152086258,0.0828914046288,0.154314041138
1492808166180316410,287302,0,,-11.2709550858,11.3621740341,-28.8526496887,0.104083903134,-0.232636451721,0.416541129351,1.72357320786,1.7977514267,-9.26650238037,-0.0675475746393,-0.0348898097873,0.0253396108747,-0.205893918872,-0.0789115205407,0.150118231773,-0.17192196846,0.0398615598679,0.200021743774
1492808166200702103,287303,0,,-11.3378095627,11.3275337219,-28.8127441406,0.104081481695,-0.232634544373,0.413261264563,1.76907420158,1.81166553497,-9.22229480743,-0.0647525116801,-0.0355991013348,0.0278817042708,-0.154587432742,-0.0762126892805,0.193271934986,-0.115320920944,0.021512567997,0.230863571167
1492808166220987850,287304,0,,-11.3994817734,11.2892408371,-28.76811409,0.105090729892,-0.236759260297,0.41204315424,1.76257801056,1.81563079357,-9.16844367981,-0.0599089041352,-0.0400779731572,0.0306066796184,-0.154664829373,-0.0826345905662,0.246342808008,-0.104263067245,0.0203782916069,0.283104896545
1492808166241341297,287305,0,,-11.4551324844,11.2481508255,-28.7185096741,0.101831063628,-0.23365662992,0.412084847689,1.75380551815,1.80398774147,-9.12455463409,-0.0558090470731,-0.043899782002,0.0353449508548,-0.156549453735,-0.103693976998,0.289730101824,-0.103741645813,0.00656867027283,0.329238891602
1492808166261635565,287306,0,,-11.5025892258,11.2061796188,-28.6675376892,0.105143204331,-0.234699830413,0.413212865591,1.79008030891,1.82941818237,-9.09533500671,-0.0491111762822,-0.0451190471649,0.0376861691475,-0.113237917423,-0.0863392949104,0.318734914064,-0.0513646602631,0.00409770011902,0.345273971558
