%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.header.frame_id,field.transforms0.child_frame_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w
1492808165527853751,0,1492808165520142317,odom,robot_frame,-1.03992603393e-06,1.62746238582e-05,-0.302126708462,0.0214427568908,-0.118529183253,0.848893307767,0.514656383349
1492808165627831284,0,1492808165623064995,odom,robot_frame,-8.23424685734e-05,0.000424422555853,-0.30523511978,0.0252301808027,-0.118397170836,0.847821340453,0.516279500452
1492808165727834521,0,1492808165718278885,odom,robot_frame,-0.000449396188603,0.0018351511535,-0.306770636842,0.0307943277985,-0.120477011565,0.847204374193,0.516509193925
1492808165827862707,0,1492808165819832087,odom,robot_frame,-0.00129656422908,0.00488221389406,-0.298058994248,0.035321883627,-0.122990713982,0.847429351365,0.515256385945
1492808165927883393,0,1492808165919528961,odom,robot_frame,-0.00229702992002,0.0089855238463,-0.303193505478,0.038246263789,-0.126112883306,0.84808147036,0.513215922982
1492808166027835247,0,1492808166017777920,odom,robot_frame,-0.00303926528319,0.0130067773537,-0.29289160689,0.0389239687948,-0.129916049894,0.848398770116,0.511689624185
1492808166127843780,0,1492808166119281530,odom,robot_frame,-0.00293999274238,0.0158926043583,-0.290232956597,0.0370341569566,-0.132977046615,0.8481409889,0.511470858642
1492808166227840470,0,1492808166220849752,odom,robot_frame,-0.00193588137743,0.0170549869238,-0.291605770807,0.0338942531385,-0.134900462691,0.847218339222,0.512712522235
1492808166327827734,0,1492808166317393541,odom,robot_frame,-0.000609297675645,0.0169389714044,-0.290620310009,0.0311447410452,-0.135519184095,0.846051071967,0.514647587647
1492808166427858268,0,1492808166418825388,odom,robot_frame,0.000481920877944,0.0168431422151,-0.287962843698,0.0292045378953,-0.134351603019,0.845370223737,0.516184004549
1492808166527879179,0,1492808166520416498,odom,robot_frame,0.000915602727637,0.0177456206412,-0.286047895523,0.0286814394979,-0.131914903979,0.845571173095,0.516512559738
1492808166627835035,0,1492808166617105961,odom,robot_frame,0.000774668522277,0.0198919132364,-0.290303631029,0.0293241475464,-0.12913149892,0.846501625096,0.515655067916
1492808166727832506,0,1492808166718549728,odom,robot_frame,0.00038675874004,0.0228156227102,-0.289386130956,0.0294035000069,-0.126552692064,0.847766099381,0.514210551292
1492808166827850979,0,1492808166820132256,odom,robot_frame,0.000331515782465,0.0264557147327,-0.297355459919,0.0281460123692,-0.124449010236,0.848838613465,0.513023638957
1492808166927823548,0,1492808166916817665,odom,robot_frame,0.000771031237936,0.0295061692551,-0.296329971633,0.0256003212083,-0.122905302076,0.849267572646,0.512819169227
1492808167027884243,0,1492808167018379927,odom,robot_frame,0.00219547646341,0.032592790132,-0.305052356548,0.0233232858982,-0.122406191408,0.848750390103,0.513902251347
1492808167127906728,0,1492808167119981050,odom,robot_frame,0.00431008552206,0.034323949753,-0.304001571914,0.023488668931,-0.123378094234,0.84730794065,0.516038159448
1492808167227828571,0,1492808167216542721,odom,robot_frame,0.00677139467537,0.0352008717571,-0.301661569924,0.0266094372888,-0.125526769961,0.845408404623,0.51847815505
1492808167327865147,0,1492808167317965269,odom,robot_frame,0.00940685007558,0.0361026888737,-0.299570372607,0.0323670370578,-0.128607588243,0.843694021128,0.520185411052
1492808167427881258,0,1492808167419409275,odom,robot_frame,0.0117721042578,0.0377242447457,-0.29802811939,0.0397915250973,-0.132440427836,0.842611918336,0.5204626045
1492808167527879778,0,1492808167520868301,odom,robot_frame,0.0136297061858,0.0401312667284,-0.291497791021,0.0468978578177,-0.136455141656,0.842299391133,0.519338349195
1492808167627852736,0,1492808167617414236,odom,robot_frame,0.0156697797372,0.0433056810511,-0.296171564138,0.050460596788,-0.139168265865,0.842771544922,0.517515260661
1492808167727813029,0,1492808167718934774,odom,robot_frame,0.0176655975436,0.045713343304,-0.289444571886,0.0490521464056,-0.139698066376,0.843667322758,0.51604630189
1492808167827841284,0,1492808167820411921,odom,robot_frame,0.0206696599984,0.0471673218385,-0.293941453462,0.043917914251,-0.138131610234,0.844290966551,0.51591049501
1492808167927846464,0,1492808167924499035,odom,robot_frame,0.0239437323564,0.0473228988781,-0.291969814075,0.0356455846839,-0.134935646239,0.844433219504,0.517159841311
1492808168027872977,0,1492808168018608332,odom,robot_frame,0.0268446326447,0.0478349107801,-0.297041319029,0.0263963367522,-0.128832641632,0.844870660724,0.518554674556
1492808168127846235,0,1492808168120132208,odom,robot_frame,0.029020051448,0.0488883713554,-0.291058751872,0.0187003633422,-0.123650715819,0.845202763045,0.519608589449
1492808168227819578,0,1492808168222157955,odom,robot_frame,0.0302661717498,0.0522550370349,-0.288909387076,0.0123867655424,-0.119491657564,0.845845655749,0.519724387019
1492808168327869243,0,1492808168318178654,odom,robot_frame,0.030864087136,0.0576617937877,-0.293397290882,0.00955775134193,-0.116854147995,0.846622040749,0.519119328867
1492808168427831013,0,1492808168419659615,odom,robot_frame,0.0318338629074,0.0626410025009,-0.295353140536,0.0111285841876,-0.117166981958,0.846927848918,0.518518342665
1492808168527819622,0,1492808168518806934,odom,robot_frame,0.0338652854315,0.0656427350248,-0.298091465931,0.0168200701309,-0.119564567779,0.846383341447,0.518706698139
1492808168627860569,0,1492808168617633581,odom,robot_frame,0.0373856121909,0.0664485395242,-0.304123868293,0.025693530379,-0.124455693503,0.844656029919,0.520006551855
1492808168727814919,0,1492808168719196796,odom,robot_frame,0.0421551572195,0.0641792273152,-0.300863088468,0.0354368345251,-0.130442211446,0.842241128158,0.521880199156
1492808168827838323,0,1492808168820817709,odom,robot_frame,0.0472384085606,0.0621607921349,-0.299015009535,0.0426792091655,-0.13590916341,0.840221861301,0.523196338097
1492808168927840638,0,1492808168917275906,odom,robot_frame,0.0519042654493,0.0618311055489,-0.303568170488,0.045667699392,-0.138797625526,0.839461251921,0.523406617177
1492808169027937600,0,1492808169018848658,odom,robot_frame,0.0548585884199,0.0638216333612,-0.300098622844,0.0445216753135,-0.138383863054,0.839815837327,0.523045969536
1492808169127897088,0,1492808169120580673,odom,robot_frame,0.0564661297303,0.0673323233332,-0.293924858398,0.0393304550235,-0.135337846071,0.840757631094,0.522746007624
1492808169227895195,0,1492808169217158794,odom,robot_frame,0.0575844619267,0.0711179321585,-0.291749049475,0.0310521664238,-0.131030674202,0.841741992221,0.522816549002
1492808169327872678,0,1492808169318742752,odom,robot_frame,0.0587285202119,0.075133387097,-0.292139224023,0.0223023339206,-0.126621600082,0.842555186854,0.523039514186
1492808169427829923,0,1492808169420370579,odom,robot_frame,0.06021288566,0.0785369843655,-0.291211212117,0.0141203340997,-0.121989795152,0.84322621533,0.523343726268
1492808169527842957,0,1492808169516908407,odom,robot_frame,0.0626686860145,0.0797831177256,-0.286726670491,0.00957651259538,-0.119041586134,0.843247281627,0.524091035228
1492808169627831550,0,1492808169618538618,odom,robot_frame,0.0657232936941,0.0821480726939,-0.296522386825,0.00949638510859,-0.119304599079,0.842387154291,0.525414230483
