# Time	x	y	z	roll	pitch	yaw	vx	vy	vz	
-4.4192479	-0.0000193	-0.0000224	-0.2480845	-0.1859857	-0.1913752	0.5448020	-0.0012625	-0.0006476	0.0009967
-4.3192302	-0.0003812	-0.0004253	-0.2417878	-0.1848990	-0.2017481	0.5418334	-0.0074542	-0.0037193	0.0057319
-4.2190633	-0.0011965	-0.0013459	-0.2409494	-0.1838908	-0.2142869	0.5391029	-0.0125802	-0.0058108	0.0073384
-4.1192558	-0.0020770	-0.0024462	-0.2419107	-0.1835758	-0.2243799	0.5366509	-0.0136703	-0.0070483	0.0047879
-4.0192520	-0.0028123	-0.0035890	-0.2408461	-0.1839282	-0.2300528	0.5341756	-0.0084764	-0.0070468	0.0033462
-3.9192389	-0.0031353	-0.0044204	-0.2368670	-0.1859607	-0.2288926	0.5318712	-0.0015543	-0.0068217	0.0089991
-3.8192236	-0.0031827	-0.0050015	-0.2374676	-0.1895165	-0.2217760	0.5293842	0.0007827	-0.0070941	0.0160453
-3.7192425	-0.0035516	-0.0056566	-0.2401263	-0.1935615	-0.2122164	0.5259125	-0.0069816	-0.0064748	0.0186503
-3.6191132	-0.0049865	-0.0066758	-0.2398974	-0.1967213	-0.2043178	0.5211046	-0.0204601	-0.0035795	0.0177364
-3.5192512	-0.0077528	-0.0080456	-0.2356588	-0.1980801	-0.2002208	0.5154400	-0.0339536	0.0005418	0.0121741
-3.4192643	-0.0109129	-0.0095905	-0.2391947	-0.1974573	-0.1989128	0.5098643	-0.0404414	0.0026949	-0.0001380
-3.3191053	-0.0144213	-0.0111973	-0.2369377	-0.1953042	-0.1995745	0.5054447	-0.0382390	0.0035334	-0.0091306
-3.2192847	-0.0172231	-0.0124696	-0.2385214	-0.1926349	-0.2008376	0.5025349	-0.0281402	0.0052374	-0.0133999
-3.1192771	-0.0193068	-0.0130950	-0.2344712	-0.1904372	-0.2016117	0.5008877	-0.0172741	0.0050964	-0.0065772
-3.0191058	-0.0206198	-0.0134471	-0.2379202	-0.1892119	-0.2019299	0.4993026	-0.0116404	0.0043590	-0.0013278
-2.9192668	-0.0219958	-0.0136725	-0.2399754	-0.1888893	-0.2026014	0.4967789	-0.0159867	0.0056029	0.0039854
