%time,field.header.seq,field.header.stamp,field.header.frame_id,field.RPY.x,field.RPY.y,field.RPY.z,field.Mag.x,field.Mag.y,field.Mag.z,field.Accel.x,field.Accel.y,field.Accel.z,field.Gyro.x,field.Gyro.y,field.Gyro.z,field.LinearAccelBody.x,field.LinearAccelBody.y,field.LinearAccelBody.z,field.LinearAccelNed.x,field.LinearAccelNed.y,field.LinearAccelNed.z
1492806563349403972,207162,0,,-11.8776655197,8.87068367004,-8.37794780731,0.146714672446,-0.211125686765,0.414430469275,1.71435880661,2.13015770912,-9.53442668915,-0.0411707833409,-0.0839453414083,0.0110815316439,0.204115822911,0.138492971659,-0.0650087594986,0.203265309334,0.093529343605,-0.122495651245
1492806563369897310,207163,0,,-11.927312851,8.77933979034,-8.34796905518,0.145556375384,-0.213173940778,0.41433429718,1.79529631138,2.16413807869,-9.55194759369,-0.0483346655965,-0.0836157724261,0.00475143827498,0.300482273102,0.1637737602,-0.081915140152,0.29740691185,0.101201891899,-0.158520698547
1492806563390243500,207164,0,,-11.9862508774,8.6916179657,-8.32671356201,0.147823095322,-0.211130365729,0.415544092655,1.72104227543,2.20939469337,-9.52900123596,-0.0546116195619,-0.0772587060928,-0.000174085609615,0.241048485041,0.198816910386,-0.0588026195765,0.247389912605,0.148004055023,-0.134101867676
1492806563410505620,207165,0,,-12.0576534271,8.61581707001,-8.31291294098,0.147797524929,-0.212156310678,0.415506154299,1.68588209152,2.28020477295,-9.52434253693,-0.0666993334889,-0.0661647170782,-0.00222606630996,0.218697667122,0.257419407368,-0.0547507479787,0.232792615891,0.208840250969,-0.138868331909
1492806563430794688,207166,0,,-12.1421346664,8.54389381409,-8.30260753632,0.149960264564,-0.214214965701,0.41330075264,1.61572706699,2.33386850357,-9.53099155426,-0.0785130485892,-0.0636514723301,-0.00431371293962,0.160699307919,0.296736687422,-0.0625999718904,0.179067015648,0.253733038902,-0.146117210388
1492806563451139594,207167,0,,-12.2418766022,8.47153759003,-8.287940979,0.148903861642,-0.2121591717,0.41335311532,1.60323441029,2.32935023308,-9.54968452454,-0.0931642055511,-0.0668928846717,-0.000581200700253,0.160438522696,0.2753508389,-0.083065405488,0.172935247421,0.228939294815,-0.161674499512
1492806563471422053,207168,0,,-12.3592033386,8.39884853363,-8.27374458313,0.148880362511,-0.213186964393,0.415495365858,1.58210682869,2.29305362701,-9.47171592712,-0.106937102973,-0.0618354193866,0.000114196445793,0.151601955295,0.219283565879,-0.0075431317091,0.171157717705,0.189933896065,-0.0758647918701
1492806563491721968,207169,0,,-12.4849023819,8.34901046753,-8.26403045654,0.148775532842,-0.217288389802,0.410989880562,1.67486703396,2.15953731537,-9.33781242371,-0.108375146985,-0.0386018007994,-0.00259224511683,0.252789825201,0.0647410601377,0.123000539839,0.275666594505,0.050704240799,0.068265914917
1492806563512066965,207170,0,,-12.6058731079,8.29980278015,-8.26869106293,0.151018261909,-0.216272175312,0.413254678249,1.65606939793,2.03764009476,-9.35369968414,-0.104098260403,-0.0526160672307,-0.0191996451467,0.242315024137,-0.0773921608925,0.103857010603,0.2465736866,-0.0892493724823,0.0820264816284
1492806563527440917,207171,0,,-12.7229404449,8.22087669373,-8.28288936615,0.149887174368,-0.21729592979,0.415375679731,1.43245792389,1.99556088448,-9.32857894897,-0.100201405585,-0.0690537914634,-0.0296690650284,0.0320547148585,-0.139217913151,0.126526519656,0.037647485733,-0.114552259445,0.1479139328
1492806563547675598,207172,0,,-12.8305387497,8.13433837891,-8.29496669769,0.153283566236,-0.214227408171,0.411200284958,1.3113515377,2.03494930267,-9.26712226868,-0.0896960124373,-0.075407281518,-0.0204521752894,-0.0744098350406,-0.11804933846,0.186009928584,-0.0544726848602,-0.0666332244873,0.216020584106
